N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_trust_sec,wu_faithful_active
1143.6108487905667,6000.0,80.4916513999924,75.0,9.0,0.0,466.0,0,-0.00890244962315112,-0.09983554162935973,-0.0330114618012433,-0.013881621891584407,-0.03428410393221748,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,1.0,6.0,1.0
1074.5317897315833,5750.0,96.45799459994305,74.0,10.0,1.0,216.0,1,0.03198075462673755,-0.061324222687294615,-0.11360000311680038,0.02905748415437574,-0.02283723260912544,6.0,1.0,56.0,56.0,56.0,50.0,56.0,2.0,1.0,6.0,1.0
1158.3569744503914,6000.0,93.27648800006136,74.0,10.0,0.0,471.0,2,0.03198075462673755,-0.061324222687294615,-0.11360000311680038,0.02905748415437574,-0.02283723260912544,6.0,1.0,56.0,56.0,56.0,50.0,56.0,2.0,0.0,6.0,1.0
1069.7720041888178,5550.0,105.52982549997978,74.0,10.0,0.0,457.0,3,0.07716244362673581,-0.07449301954661647,-0.1046004768814767,0.19731434842385864,0.169984169028868,6.0,1.0,56.0,56.0,57.0,56.0,62.0,3.0,1.0,6.0,1.0
1021.0740133833502,5550.0,80.01291589997709,74.0,10.0,0.0,375.0,4,0.07716244362673581,-0.07449301954661647,-0.1046004768814767,0.19731434842385864,0.169984169028868,6.0,1.0,56.0,56.0,57.0,56.0,62.0,3.0,0.0,6.0,1.0
1200.6074917339836,5100.0,79.23418599995784,74.0,10.0,0.0,230.0,5,0.07563551035987355,-0.06475436178808165,-0.08095792938842297,0.03071744075177859,0.03190102639744907,6.0,1.0,56.0,56.0,62.0,50.0,62.0,4.0,1.0,6.0,1.0
1307.439430610566,5100.0,81.33462570002303,74.0,10.0,0.0,356.0,6,0.07563551035987355,-0.06475436178808165,-0.08095792938842297,0.03071744075177859,0.03190102639744907,6.0,1.0,56.0,56.0,62.0,50.0,62.0,4.0,0.0,6.0,1.0
1327.6333653338563,5100.0,87.19907520001289,74.0,10.0,0.0,366.0,7,0.07563551035987355,-0.06475436178808165,-0.08095792938842297,0.03071744075177859,0.03190102639744907,6.0,1.0,56.0,56.0,62.0,50.0,62.0,4.0,0.0,6.0,1.0
1477.2422360704036,4800.0,70.7282031000359,74.0,10.0,0.0,238.0,8,0.02985307507122314,-0.1278336573564031,-0.08104521979586259,0.15478694418555605,0.03590109746686564,6.0,1.0,56.0,56.0,62.0,44.0,56.0,5.0,1.0,6.0,1.0
1506.6504441111765,4800.0,79.13768500008155,74.0,10.0,0.0,193.0,9,0.054390593615237876,-0.034658032654355075,0.03954955526768492,0.047329590410231034,0.39306470420959033,6.0,1.0,56.0,56.0,62.0,38.0,62.0,6.0,1.0,6.0,1.0
1331.6748612885754,4500.0,60.706572300055996,75.0,9.0,0.0,258.0,10,0.03943915727477787,-0.11854649505024269,-0.07715646771469824,0.17043074477009768,0.46442202358665935,6.0,1.0,56.0,56.0,62.0,32.0,56.0,7.0,1.0,6.0,1.0
1467.8398499573295,4500.0,74.39645740005653,74.0,8.0,0.0,299.0,11,0.05380484545287168,-0.020455966057540895,-0.06074733909257546,0.13617991278306008,-0.02789740988650044,6.0,1.0,56.0,56.0,62.0,32.0,50.0,8.0,1.0,6.0,1.0
1605.458950933376,4800.0,82.15262189996429,74.0,9.0,0.0,292.0,12,0.012302707684947716,-0.10656615654542767,-0.0863554917902043,0.3885699078270074,0.0635465505174023,6.0,1.0,56.0,56.0,62.0,38.0,44.0,9.0,1.0,6.0,1.0
1533.682372103575,4500.0,63.561540200025775,74.0,8.0,1.0,104.0,13,0.036611316762138316,0.014569360759589145,-0.07302002520830206,0.3284936682149417,0.020788857172214875,6.0,1.0,56.0,56.0,62.0,32.0,44.0,10.0,1.0,6.0,1.0
