N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_trust_sec,wu_faithful_active
1143.6108487905667,5700.0,95.163223200012,75.0,9.0,1.0,258.0,0,-0.00890244962315112,-0.09983554162935973,-0.0330114618012433,-0.013881621891584407,-0.03428410393221748,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,1.0,6.0,1.0
1012.7589489559701,6000.0,91.77750950003974,74.0,8.0,1.0,114.0,1,0.005961453125736372,-0.06867448256518434,-0.08891134965308556,0.2485890123242644,0.10809301714261525,6.0,1.0,56.0,56.0,56.0,50.0,56.0,2.0,1.0,6.0,1.0
1125.9897193438046,6000.0,114.08552389999386,74.0,10.0,0.0,527.0,2,0.002512466094607535,-0.038758202843870625,-0.09002496157128936,0.13837138464038423,0.1409115240271448,6.0,1.0,56.0,50.0,62.0,56.0,62.0,3.0,1.0,6.0,1.0
1124.7386529188427,6000.0,114.82234129996505,74.0,10.0,0.0,506.0,3,0.07540503427825418,-0.0625734746854848,-0.08288896756543185,0.12414636929238906,0.09203369464423497,6.0,1.0,56.0,51.0,62.0,56.0,56.0,4.0,1.0,6.0,1.0
1025.254433032305,5550.0,117.99768139992375,74.0,10.0,0.0,526.0,4,0.07540503427825418,-0.0625734746854848,-0.08288896756543185,0.12414636929238906,0.09203369464423497,6.0,1.0,56.0,51.0,62.0,56.0,56.0,4.0,0.0,6.0,1.0
1084.1712609299334,5100.0,118.08055539999623,74.0,10.0,0.0,502.0,5,0.07540503427825418,-0.0625734746854848,-0.08288896756543185,0.12414636929238906,0.09203369464423497,6.0,1.0,56.0,51.0,62.0,56.0,56.0,4.0,0.0,6.0,1.0
1180.942248301821,4800.0,110.23870129999705,74.0,10.0,0.0,450.0,6,0.057563623569898116,-0.07922691286723774,-0.061197556316516216,-0.0263382198389414,0.2933207568879303,6.0,1.0,56.0,52.0,62.0,50.0,56.0,5.0,1.0,6.0,1.0
1433.4209366025784,4800.0,122.0606241999194,74.0,10.0,0.0,479.0,7,0.08651353032916682,-0.036121923948720415,-0.015238288440937435,-0.07218500567939282,0.05519852126131575,6.0,1.0,56.0,53.0,62.0,50.0,62.0,6.0,1.0,6.0,1.0
1267.8558556228988,4800.0,109.6373750999337,74.0,9.0,0.0,417.0,8,0.04331736561375029,-0.11900457985261263,-0.09436002702426105,-0.03988864308781477,0.5574813621980598,6.0,1.0,56.0,56.0,56.0,50.0,62.0,7.0,1.0,6.0,1.0
1304.981608545982,5100.0,102.20356029993854,74.0,10.0,0.0,360.0,9,0.05836786702170383,-0.03325486926206771,-0.04502303560329857,-0.054074967564170365,0.2170070524687707,6.0,1.0,56.0,56.0,56.0,50.0,56.0,8.0,1.0,6.0,1.0
1546.3281368977873,4800.0,111.7280815000413,75.0,11.0,0.0,496.0,10,0.020618603726898204,-0.11123923979023109,-0.09384447152408033,-0.002587150575084962,-0.0057673913659333775,6.0,1.0,56.0,56.0,56.0,50.0,50.0,9.0,1.0,6.0,1.0
1593.4706481107946,4800.0,87.07786510000005,74.0,10.0,0.0,287.0,11,0.028158978352625635,-0.0020722836803789696,0.0026010755449614002,-0.008562210837465521,0.05448067105080649,6.0,1.0,56.0,56.0,56.0,44.0,56.0,10.0,1.0,6.0,1.0
1603.8001679361198,4500.0,83.01596830005292,74.0,8.0,1.0,301.0,12,0.01590762393342674,-0.09477294847401192,-0.0690580496936081,0.02470874674574238,0.3652061109017666,6.0,1.0,56.0,56.0,56.0,44.0,62.0,11.0,1.0,6.0,1.0
1686.5212256965397,4500.0,78.40674950007815,74.0,8.0,0.0,290.0,13,0.04592314207459344,0.02933700399768628,0.00418807495901774,-0.12646440457127758,-0.033124827547678606,6.0,1.0,62.0,50.0,62.0,50.0,56.0,12.0,1.0,6.0,1.0
1450.8804158677353,4500.0,93.14443969994318,74.0,8.0,0.0,337.0,14,0.09685390799255106,-0.011062551042225671,-0.02822882020445287,-0.12754815607264192,0.32301776282360706,6.0,1.0,56.0,51.0,62.0,50.0,56.0,13.0,1.0,6.0,1.0
1683.2445368922033,4500.0,71.32665329996962,74.0,8.0,0.0,271.0,15,0.11795593624743717,0.018774868593188998,-0.011844168325590466,-0.15108754548920206,-0.06983988124840816,6.0,1.0,51.0,51.0,62.0,50.0,50.0,14.0,1.0,6.0,1.0
1689.3252440727038,4500.0,100.38162050000392,74.0,9.0,1.0,217.0,16,0.005114121870753035,-0.02253483748765403,-0.028961549579045467,0.10211209596457849,-0.020246595018266575,6.0,1.0,46.0,51.0,62.0,56.0,50.0,15.0,1.0,6.0,1.0
1634.1077961306812,4500.0,121.1698061999632,74.0,10.0,0.0,520.0,17,-0.03518005970174324,-0.07565727253795718,-0.04897438199164603,-0.12933671022976037,0.14668464873151282,6.0,1.0,46.0,49.0,68.0,62.0,44.0,16.0,1.0,6.0,1.0
1787.0756354746557,5000.0,99.79597680002917,74.0,10.0,1.0,195.0,18,-0.07519837250361998,-0.11925226155201862,-0.15727059295597456,-0.12520571227753882,0.11738669857350577,6.0,1.0,46.0,51.0,68.0,62.0,38.0,17.0,1.0,6.0,1.0
1863.2003283476183,4275.0,96.92997269995976,74.0,10.0,0.0,378.0,19,-0.038361323501816244,-0.0496992226623636,-0.24277680395922613,-0.14438369750573798,0.1015312723326313,6.0,1.0,46.0,50.0,74.0,62.0,44.0,18.0,1.0,6.0,1.0
1771.5303225074251,4800.0,96.76573869993445,75.0,11.0,1.0,244.0,20,-0.09410524626799344,-0.14825799999634803,-0.26042511090457765,-0.12404837157710111,0.10184389520806292,6.0,1.0,46.0,51.0,74.0,62.0,44.0,19.0,1.0,6.0,1.0
1833.6362587233893,6000.0,85.93922669999301,74.0,10.0,1.0,210.0,21,-0.028440939096884204,0.02657361662678545,-0.24220954593182142,-0.18514350483958472,-0.045330552015987735,6.0,1.0,52.0,50.0,80.0,68.0,38.0,20.0,1.0,6.0,1.0
1952.0332143297644,4500.0,80.02142659993842,74.0,10.0,0.0,268.0,22,-0.10518361426438835,-0.03232857004270666,-0.25635677340161794,-0.14860961684417853,0.12146740973270673,6.0,1.0,56.0,44.0,86.0,74.0,44.0,21.0,1.0,6.0,1.0
1825.4309707453667,5400.0,94.2888673999114,74.0,10.0,1.0,265.0,23,-0.11115645688238138,-0.01567974932473959,-0.323484513834129,-0.2034622776085039,-0.07858036313045602,6.0,1.0,56.0,44.0,80.0,74.0,50.0,22.0,1.0,6.0,1.0
1637.159554379278,5000.0,103.14152569998987,74.0,10.0,1.0,175.0,24,-0.20659504007181795,-0.02721188778866927,-0.2775583359879027,-0.2044243855019587,0.18749413788905875,6.0,1.0,62.0,38.0,86.0,80.0,56.0,23.0,1.0,6.0,1.0
1687.55227096009,4800.0,79.01977849996183,74.0,10.0,1.0,136.0,25,-0.28124513650286076,-0.00477543447688807,-0.25132569682379347,-0.1665364747931335,-0.10476011614983823,6.0,1.0,68.0,32.0,92.0,86.0,50.0,24.0,1.0,6.0,1.0
1585.765501450096,5000.0,87.21791290002875,74.0,10.0,1.0,310.0,26,-0.13771121142365436,-0.0075209452924909215,-0.20633592051044997,-0.09684676185313872,0.08066834372767318,6.0,1.0,74.0,26.0,92.0,92.0,56.0,25.0,1.0,6.0,1.0
2003.9445605096284,4500.0,74.29350249993149,74.0,8.0,0.0,205.0,27,-0.17722545704312628,-0.11123946951029022,-0.14313002833848526,0.045113804338797074,-0.04235267903814115,6.0,1.0,80.0,20.0,92.0,92.0,62.0,26.0,1.0,6.0,1.0
1916.0878832731873,4500.0,69.1860835000407,74.0,8.0,0.0,212.0,28,-0.15227803864383088,-0.025238638635523596,-0.18175981950954184,0.16716258766912043,0.10100584721255738,6.0,1.0,80.0,26.0,86.0,86.0,68.0,27.0,1.0,6.0,1.0
1905.0307951803507,4500.0,67.95412769995164,74.0,8.0,0.0,208.0,29,-0.17363575596760938,-0.02656472682968314,-0.21989413939193503,-0.06333249234517288,-0.10309546264169474,6.0,1.0,80.0,26.0,86.0,80.0,74.0,28.0,1.0,6.0,1.0
2019.1272561588544,4500.0,123.37489680002909,75.0,11.0,0.0,442.0,30,-0.15300630095725629,-0.030796837599031807,-0.181153212258432,-0.08328693658433414,0.14266430505685435,6.0,1.0,80.0,26.0,86.0,80.0,74.0,29.0,1.0,6.0,1.0
1959.7721927140565,5100.0,107.91955140000209,74.0,10.0,1.0,212.0,31,-0.17328349934862786,-0.026860557883305585,-0.22153388642749877,-0.06536846962886027,-0.05958112293844901,6.0,1.0,80.0,26.0,86.0,80.0,68.0,30.0,1.0,6.0,1.0
1943.7861129144073,4800.0,95.62671949993819,74.0,10.0,0.0,315.0,32,-0.16805739003796324,-0.13289593299696395,-0.10271718340680042,-0.09147868962375108,-0.02116150199787607,6.0,1.0,86.0,20.0,92.0,86.0,74.0,31.0,1.0,6.0,1.0
1982.658832278759,4800.0,108.10500569990836,74.0,10.0,0.0,386.0,33,-0.20560183032080204,-0.02764286490570574,-0.22046867887110488,-0.07511309561816404,-0.0968738747463173,6.0,1.0,86.0,26.0,86.0,86.0,74.0,32.0,1.0,6.0,1.0
1975.943894051472,5032.161413569842,115.05722419999074,74.0,10.0,1.0,247.0,34,-0.20560183032080204,-0.02764286490570574,-0.22046867887110488,-0.07511309561816404,-0.0968738747463173,6.0,1.0,86.0,26.0,86.0,86.0,74.0,32.0,0.0,6.0,1.0
1849.3927673080736,5700.0,98.78078320005443,74.0,10.0,1.0,180.0,35,-0.12602279733953498,-0.12988230515790633,-0.16544989694073325,0.034015662885262074,-0.14603445418266858,6.0,1.0,92.0,20.0,92.0,92.0,80.0,33.0,1.0,6.0,1.0
1782.6730263084953,4800.0,86.14989140001126,74.0,10.0,0.0,249.0,36,-0.056889522344495916,-0.13535899009715044,-0.022831591325664632,0.0017589079438001393,0.027881003112066576,6.0,1.0,92.0,20.0,92.0,92.0,86.0,34.0,1.0,6.0,1.0
1973.6091563316465,5100.0,108.04859779996332,74.0,10.0,0.0,381.0,37,-0.1978938393800718,-0.029749794026576147,-0.06986054149790752,-0.07988748390269032,0.06999288786731958,6.0,1.0,86.0,26.0,86.0,86.0,92.0,35.0,1.0,6.0,1.0
1920.4273191391867,5525.0,105.23310509999283,74.0,10.0,1.0,206.0,38,-0.19709787087524924,-0.031548901397097026,-0.05507534056002328,-0.11692233646284932,0.08209341333713382,6.0,1.0,86.0,26.0,80.0,86.0,92.0,36.0,1.0,6.0,1.0
1995.4602588167209,5100.0,102.35249449999537,74.0,10.0,0.0,361.0,39,0.020687984692415284,-0.1288607103732886,-0.22965219803173892,-0.07333166868950039,0.08880158494860287,6.0,1.0,92.0,20.0,86.0,92.0,92.0,37.0,1.0,6.0,1.0
