N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_trust_sec,wu_faithful_active
990.3482394608862,6000.0,90.77130959997885,75.0,9.0,0.0,482.0,0,-0.006900712327695106,-0.055437253962688615,-0.012302776437070376,0.1031010544705484,0.07332715793782103,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,1.0,6.0,1.0
821.8739886286621,6000.0,76.9205118000973,74.0,8.0,0.0,471.0,1,0.013158145723679645,-0.05142579696464773,0.007005569937217532,-0.004259050913394494,-0.12146501995810548,6.0,1.0,56.0,56.0,56.0,50.0,56.0,2.0,1.0,6.0,1.0
740.5048361778679,6000.0,72.07359349995386,74.0,8.0,0.0,482.0,2,0.013158145723679645,-0.05142579696464773,0.007005569937217532,-0.004259050913394494,-0.12146501995810548,6.0,1.0,56.0,56.0,56.0,50.0,56.0,2.0,0.0,6.0,1.0
801.5580571647014,6000.0,75.84467659995425,74.0,8.0,0.0,455.0,3,0.015581869297759027,-0.04943270026409167,0.007451196662138337,-0.038443553535839524,-0.08819450405717168,6.0,1.0,56.0,56.0,56.0,50.0,62.0,3.0,1.0,6.0,1.0
775.7906860193857,6000.0,71.41244430001825,74.0,8.0,0.0,478.0,4,0.015581869297759027,-0.04943270026409167,0.007451196662138337,-0.038443553535839524,-0.08819450405717168,6.0,1.0,56.0,56.0,56.0,50.0,62.0,3.0,0.0,6.0,1.0
823.717185588631,6000.0,71.679429300013,74.0,8.0,0.0,454.0,5,0.015581869297759027,-0.04943270026409167,0.007451196662138337,-0.038443553535839524,-0.08819450405717168,6.0,1.0,56.0,56.0,56.0,50.0,62.0,3.0,0.0,6.0,1.0
770.4560850461862,6000.0,71.18839319993276,74.0,8.0,0.0,478.0,6,0.015581869297759027,-0.04943270026409167,0.007451196662138337,-0.038443553535839524,-0.08819450405717168,6.0,1.0,56.0,56.0,56.0,50.0,62.0,3.0,0.0,6.0,1.0
838.9542228329794,6000.0,71.84077890007757,74.0,8.0,0.0,455.0,7,0.015581869297759027,-0.04943270026409167,0.007451196662138337,-0.038443553535839524,-0.08819450405717168,6.0,1.0,56.0,56.0,56.0,50.0,62.0,3.0,0.0,6.0,1.0
778.7925619512257,6000.0,72.01057759998366,74.0,8.0,0.0,478.0,8,0.015581869297759027,-0.04943270026409167,0.007451196662138337,-0.038443553535839524,-0.08819450405717168,6.0,1.0,56.0,56.0,56.0,50.0,62.0,3.0,0.0,6.0,1.0
858.4683562582645,6000.0,76.07109760004096,74.0,8.0,0.0,472.0,9,0.029317093019918323,-0.07670975596289557,-0.02550953197052519,-0.125684037032948,-0.061015976603496655,6.0,1.0,56.0,56.0,56.0,56.0,62.0,4.0,1.0,6.0,1.0
