step,time_sec,step_total_ttt,step_urban_ttt,step_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,cumulative_freeway_ttt,computation_time_sec
0,180.0,24.785860738900226,9.276018479787327,15.509842259112897,24.785860738900226,9.276018479787327,15.509842259112897,0.00039870000910013914
1,360.0,22.46947972442454,9.116860546354225,13.352619178070317,47.255340463324764,18.39287902614155,28.862461437183214,3.250001464039087e-05
2,540.0,20.904514465412205,8.372388612432076,12.532125852980132,68.15985492873696,26.765267638573626,41.394587290163344,2.700003096833825e-05
3,720.0,20.816095434082506,8.083556336996137,12.732539097086367,88.97595036281948,34.848823975569765,54.12712638724971,2.7099973522126675e-05
4,900.0,20.72752253934334,8.207587539894659,12.519934999448681,109.70347290216282,43.056411515464426,66.6470613866984,3.3999967854470015e-05
5,1080.0,20.718200193387972,8.048726328144202,12.66947386524377,130.4216730955508,51.10513784360863,79.31653525194217,43.145610000006855
6,1260.0,30.28325372402135,12.31798762814239,17.96526609587896,160.70492681957217,63.42312547175102,97.28180134782113,51.21311109996168
7,1440.0,54.702323116450955,22.137780409964797,32.56454270648616,215.4072499360231,85.56090588171583,129.84634405430728,48.82892890000949
8,1620.0,78.13892019728266,32.62989434996232,45.50902584732034,293.54617013330574,118.19080023167814,175.35536990162763,49.43673439999111
9,1800.0,93.25074971693417,38.450351106875864,54.80039861005831,386.79691985024,156.641151338554,230.15576851168595,44.0580895000021
10,1980.0,104.45911733495805,43.947479918319644,60.511637416638415,491.256037185198,200.58863125687367,290.66740592832434,91.37005130003672
11,2160.0,114.09372430036221,47.830739847364526,66.26298445299769,605.3497614855602,248.4193711042382,356.930390381322,66.05020140000852
12,2340.0,123.07897496898221,52.75275384480236,70.32622112417984,728.4287364545423,301.17212494904055,427.25661150550184,51.40881039999658
13,2520.0,131.84580742754028,56.43044858848111,75.41535883905917,860.2745438820828,357.60257353752166,502.67197034456103,65.65939950000029
14,2700.0,141.10812203250333,62.1182142308472,78.98990780165613,1001.382665914586,419.72078776836884,581.6618781462172,50.25755159999244
15,2880.0,150.65942552107785,66.87153563402941,83.78788988704844,1152.042091435664,486.5923234023983,665.4497680332656,50.18882239999948
16,3060.0,160.4160878271747,73.08232186779398,87.3337659593807,1312.4581792628387,559.6746452701923,752.7835339926463,47.04132119996939
17,3240.0,170.6076524297329,78.82481433038154,91.78283809935135,1483.0658316925715,638.4994596005738,844.5663720919977,47.45557380001992
18,3420.0,181.40327992336785,85.52005209374421,95.88322782962364,1664.4691116159393,724.019511694318,940.4495999216213,50.19574960001046
19,3600.0,193.09692573044325,89.72564791526894,103.37127781517431,1857.5660373463825,813.745159609587,1043.8208777367956,61.55463619995862
20,3780.0,207.31751152615468,95.30111938647215,112.01639213968252,2064.883548872537,909.0462789960591,1155.837269876478,94.76090590003878
21,3960.0,222.8026567861575,100.77264956830133,122.0300072178562,2287.6862056586947,1009.8189285643604,1277.8672770943342,57.3969567999593
22,4140.0,238.19703061939185,107.3012711480178,130.89575947137405,2525.8832362780863,1117.120199712378,1408.7630365657083,62.97513479995541
23,4320.0,252.81808062942844,112.9666383361084,139.85144229332002,2778.7013169075144,1230.0868380484865,1548.6144788590282,63.30797500000335
24,4500.0,266.7777206394209,119.64664262951577,147.13107800990517,3045.4790375469356,1349.7334806780023,1695.7455568689334,62.98305069998605
25,4680.0,280.1926474132583,125.18208861807997,155.01055879517838,3325.671684960194,1474.9155692960821,1850.7561156641118,63.83368669997435
26,4860.0,293.75500150988046,132.45968575786733,161.29531575201312,3619.4266864700744,1607.3752550539496,2012.0514314161248,63.346243100007996
27,5040.0,307.0991339778439,139.714644688333,167.3844892895109,3926.5258204479187,1747.0898997422826,2179.435920705636,50.25710769998841
28,5220.0,311.3320663796609,142.61647727007224,168.71558910958862,4237.857886827579,1889.7063770123548,2348.1515098152245,46.701530000020284
29,5400.0,299.5798787897446,137.8782249556157,161.7016538341289,4537.437765617324,2027.5846019679705,2509.8531636493535,51.17954089998966
30,5580.0,280.23255182848425,132.629989129056,147.6025626994282,4817.670317445809,2160.2145910970266,2657.455726348782,62.127764599979855
31,5760.0,260.43410873886114,127.63336128461997,132.8007474542412,5078.104426184669,2287.847952381647,2790.256473803023,48.75177759997314
32,5940.0,240.0093342246106,123.33501642983475,116.67431779477585,5318.11376040928,2411.1829688114817,2906.930791597799,55.85478310001781
33,6120.0,219.7394625166605,117.50651286084603,102.23294965581447,5537.853222925942,2528.689481672328,3009.1637412536134,63.9545616999967
34,6300.0,200.19919685086762,111.19223115218762,89.00696569868002,5738.052419776809,2639.8817128245155,3098.1707069522936,62.92197169997962
35,6480.0,182.01239893821483,103.13964178595351,78.87275715226131,5920.064818715024,2743.021354610469,3177.043464104555,54.38503740000306
36,6660.0,165.4108680429768,95.8746907962389,69.53617724673789,6085.475686758001,2838.8960454067083,3246.5796413512926,47.14732170000207
37,6840.0,148.64499342792735,88.10627229286447,60.53872113506287,6234.120680185928,2927.002317699573,3307.1183624863556,44.9123574999976
38,7020.0,131.1085502361758,79.09020090800546,52.01834932817035,6365.229230422105,3006.0925186075783,3359.136711814526,47.24790270003723
39,7200.0,113.35443501325759,68.60609303269464,44.74834198056295,6478.5836654353625,3074.698611640273,3403.885053795089,44.822328399983235
40,7380.0,97.90995858665916,60.04936454203383,37.86059404462533,6576.493624022021,3134.747976182307,3441.7456478397144,59.35995119996369
41,7560.0,83.26427966941942,51.79807171384235,31.46620795557708,6659.757903691441,3186.5460478961495,3473.2118557952913,44.1115853000083
42,7740.0,70.14028410906663,43.86161374575434,26.278670363312283,6729.898187800507,3230.407661641904,3499.4905261586036,45.80986490001669
43,7920.0,60.424105361451026,37.239971845604494,23.184133515846533,6790.322293161958,3267.6476334875083,3522.67465967445,64.97948280000128
44,8100.0,51.79566202973376,31.54189325264202,20.253768777091743,6842.117955191692,3299.1895267401505,3542.928428451542,60.913775100023486
45,8280.0,44.14047714491101,26.417972000224722,17.722505144686288,6886.258432336604,3325.6074987403754,3560.6509335962282,53.30655660002958
46,8460.0,38.813228112605515,23.331266409193613,15.4819617034119,6925.071660449209,3348.938765149569,3576.13289529964,52.161841200024355
47,8640.0,35.830991486430534,21.583595259777994,14.247396226652539,6960.902651935639,3370.522360409347,3590.3802915262927,52.88675980002154
48,8820.0,34.04440878125345,19.778609888861993,14.265798892391459,6994.947060716893,3390.300970298209,3604.6460904186843,55.045147500000894
49,9000.0,31.851260496398087,17.532202738513146,14.319057757884941,7026.798321213291,3407.833173036722,3618.965148176569,55.43728589999955
50,9180.0,29.782711246078264,15.487060080464715,14.295651165613547,7056.581032459369,3423.320233117187,3633.2607993421825,73.59882660000585
51,9360.0,27.7877505484829,13.440898500993834,14.346852047489067,7084.3687830078525,3436.7611316181806,3647.6076513896714,46.1119677000097
52,9540.0,25.698655533643848,11.31319839973448,14.385457133909368,7110.067438541496,3448.074330017915,3661.9931085235808,45.69335359998513
53,9720.0,23.642917783352175,9.372103840829036,14.27081394252314,7133.710356324847,3457.446433858744,3676.263922466104,27.039282199984882
54,9900.0,22.048721564300685,8.622971876983918,13.425749687316767,7155.759077889149,3466.069405735728,3689.689672153421,26.27449149999302
55,10080.0,21.481252502739462,8.398469459859252,13.08278304288021,7177.240330391889,3474.4678751955876,3702.772455196301,25.210654199996497
56,10260.0,21.397454060988025,8.390985732493522,13.0064683284945,7198.637784452876,3482.858860928081,3715.7789235247956,24.085398699971847
57,10440.0,21.386225220633076,8.349680002667068,13.036545217966008,7220.024009673509,3491.208540930748,3728.8154687427614,25.24676960002398
58,10620.0,21.372059035334978,8.376560527714688,12.995498507620288,7241.396068708844,3499.5851014584628,3741.8109672503815,24.99958050000714
59,10800.0,21.37976326345452,8.347120057838483,13.032643205616036,7262.775831972298,3507.932221516301,3754.8436104559974,24.562236200028565
60,10980.0,21.3705574591817,8.375729189988409,12.994828269193292,7284.14638943148,3516.3079507062894,3767.838438725191,53.366565700038336
61,11160.0,21.379372199110815,8.34690535289296,13.032466846217854,7305.525761630591,3524.6548560591823,3780.8709055714085,19.49891959998058
62,11340.0,21.370447840069478,8.375677632344164,12.994770207725313,7326.89620947066,3533.0305336915267,3793.8656757791337,19.665201900003012
63,11520.0,21.379348010683977,8.346891535824863,13.032456474859114,7348.275557481344,3541.3774252273515,3806.8981322539926,18.521365099994
64,11700.0,21.370440832158003,8.375674065654291,12.994766766503712,7369.645998313503,3549.753099293006,3819.8928990204963,17.765883599990048
65,11880.0,21.379346217649164,8.346890614814155,13.032455602835007,7391.025344531152,3558.09998990782,3832.9253546233313,19.1502667000168
66,12060.0,21.370440396653894,8.375673826727741,12.994766569926153,7412.395784927805,3566.475663734548,3845.9201211932573,20.54492620000383
67,12240.0,21.37934609674391,8.346890552799442,13.032455543944465,7433.775131024549,3574.8225542873474,3858.9525767372015,19.501879399991594
68,12420.0,21.370440366301317,8.375673810944525,12.99476655535679,7455.145571390851,3583.198228098292,3871.9473432925583,18.274315699993167
69,12600.0,21.379346088913806,8.346890548602037,13.03245554031177,7476.524917479765,3591.545118646894,3884.97979883287,19.105148900009226
70,12780.0,21.37044036424126,8.375673809885386,12.994766554355877,7497.895357844005,3599.9207924567795,3897.974565387226,43.331276800017804
71,12960.0,21.379346088388637,8.346890548324659,13.032455540063978,7519.274703932394,3608.267683005104,3911.00702092729,19.317702700034715
72,13140.0,21.370440364105146,8.375673809813275,12.994766554291871,7540.645144296499,3616.6433568149173,3924.0017874815817,20.369166999997105
73,13320.0,21.37934608835264,8.346890548306016,13.032455540046623,7562.024490384852,3624.9902473632233,3937.0342430216283,18.644522899994627
74,13500.0,21.370440364096027,8.375673809808418,12.99476655428761,7583.394930748947,3633.365921173032,3950.029009575916,18.564080299984198
75,13680.0,21.379346088350182,8.34689054830469,13.032455540045492,7604.774276837298,3641.7128117213365,3963.0614651159617,18.166229799971916
76,13860.0,21.37044036409534,8.375673809808026,12.994766554287315,7626.144717201394,3650.0884855311447,3976.056231670249,18.159349400026258
77,14040.0,21.37934608834994,8.346890548304524,13.032455540045415,7647.524063289744,3658.4353760794493,3989.088687210294,18.170233600016218
78,14220.0,21.370440364095202,8.375673809807909,12.994766554287295,7668.894503653839,3666.811049889257,4002.0834537645815,18.545167200034484
