N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,sup_pick_pfo,sup_v_pfo,sup_v_pstack,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_skipped,wu_b2_price_trust_sec,wu_b3_cliff_both_FW_E,wu_b3_cliff_both_FW_W,wu_b3_meter_fd3_R_D_E_base,wu_b3_meter_fd3_R_D_E_cliffup,wu_b3_meter_fd3_R_D_E_curv,wu_b3_meter_fd3_R_D_E_hi,wu_b3_meter_fd3_R_D_E_lo,wu_b3_meter_fd3_R_D_E_nonlin,wu_b3_meter_fd3_R_D_W_base,wu_b3_meter_fd3_R_D_W_cliffup,wu_b3_meter_fd3_R_D_W_curv,wu_b3_meter_fd3_R_D_W_hi,wu_b3_meter_fd3_R_D_W_lo,wu_b3_meter_fd3_R_D_W_nonlin,wu_b3_meter_fd3_R_F_E_base,wu_b3_meter_fd3_R_F_E_cliffup,wu_b3_meter_fd3_R_F_E_curv,wu_b3_meter_fd3_R_F_E_hi,wu_b3_meter_fd3_R_F_E_lo,wu_b3_meter_fd3_R_F_E_nonlin,wu_b3_meter_fd3_R_F_W_base,wu_b3_meter_fd3_R_F_W_cliffup,wu_b3_meter_fd3_R_F_W_curv,wu_b3_meter_fd3_R_F_W_hi,wu_b3_meter_fd3_R_F_W_lo,wu_b3_meter_fd3_R_F_W_nonlin,wu_b3_meter_price_R_D_E,wu_b3_meter_price_R_D_W,wu_b3_meter_price_R_F_E,wu_b3_meter_price_R_F_W,wu_b3_meter_price_enabled,wu_b3_meter_price_ref_R_D_E,wu_b3_meter_price_ref_R_D_W,wu_b3_meter_price_ref_R_F_E,wu_b3_meter_price_ref_R_F_W,wu_b3_release_ratio_FW_E,wu_b3_release_ratio_FW_W,wu_b3_release_refresh,wu_b3_vsl_price_FW_E__seg0,wu_b3_vsl_price_FW_E__seg1,wu_b3_vsl_price_FW_E__seg2,wu_b3_vsl_price_FW_E__seg3,wu_b3_vsl_price_FW_E__seg4,wu_b3_vsl_price_FW_E__seg5,wu_b3_vsl_price_FW_E__seg6,wu_b3_vsl_price_FW_E__seg7,wu_b3_vsl_price_FW_W__seg0,wu_b3_vsl_price_FW_W__seg1,wu_b3_vsl_price_FW_W__seg2,wu_b3_vsl_price_FW_W__seg3,wu_b3_vsl_price_FW_W__seg4,wu_b3_vsl_price_FW_W__seg5,wu_b3_vsl_price_FW_W__seg6,wu_b3_vsl_price_FW_W__seg7,wu_b3_vsl_price_enabled,wu_b3_vsl_price_ref_FW_E__seg0,wu_b3_vsl_price_ref_FW_E__seg1,wu_b3_vsl_price_ref_FW_E__seg2,wu_b3_vsl_price_ref_FW_E__seg3,wu_b3_vsl_price_ref_FW_E__seg4,wu_b3_vsl_price_ref_FW_E__seg5,wu_b3_vsl_price_ref_FW_E__seg6,wu_b3_vsl_price_ref_FW_E__seg7,wu_b3_vsl_price_ref_FW_W__seg0,wu_b3_vsl_price_ref_FW_W__seg1,wu_b3_vsl_price_ref_FW_W__seg2,wu_b3_vsl_price_ref_FW_W__seg3,wu_b3_vsl_price_ref_FW_W__seg4,wu_b3_vsl_price_ref_FW_W__seg5,wu_b3_vsl_price_ref_FW_W__seg6,wu_b3_vsl_price_ref_FW_W__seg7,wu_b4_barrier_enabled,wu_f3_offset_inner_iters_A,wu_f3_offset_inner_iters_B,wu_f3_offset_inner_iters_C,wu_f3_offset_price_A,wu_f3_offset_price_B,wu_f3_offset_price_C,wu_f3_offset_price_enabled,wu_f3_offset_ref_A,wu_f3_offset_ref_B,wu_f3_offset_ref_C,wu_f3_offset_walk_from_A,wu_f3_offset_walk_from_B,wu_f3_offset_walk_from_C,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_max_veh,wu_faithful_np_feasible_min,wu_faithful_np_feasible_min_veh,wu_faithful_np_original_target,wu_faithful_np_original_target_veh,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projected_target_veh,wu_faithful_np_projection_residual,wu_faithful_np_realized_sum_nin_veh,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error,wu_seg13_active,wu_seg13_budget_FW_E,wu_seg13_budget_FW_W,wu_seg13_evals_FW_E,wu_seg13_evals_FW_W,wu_seg13_floor_alpha_FW_E,wu_seg13_floor_alpha_FW_W,wu_seg13_floor_cong_FW_E,wu_seg13_floor_cong_FW_W,wu_seg13_meter_box_edge_FW_E,wu_seg13_meter_box_edge_FW_W,wu_seg13_meter_box_r_FW_E,wu_seg13_meter_box_r_FW_W,wu_seg13_meter_box_total_FW_E,wu_seg13_meter_box_total_FW_W,wu_seg13_postsplit_FW_E,wu_seg13_postsplit_FW_W,wu_seg13_presplit_FW_E,wu_seg13_presplit_FW_W,wu_seg13_traj_used_FW_E,wu_seg13_traj_used_FW_W,wu_seg13_vsl_box_r_FW_E,wu_seg13_vsl_box_r_FW_W
0.0,0.0,2.1899992134422064e-05,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.41999514400959e-05,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,4.449998959898949e-05,0.0,0.0,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.1099986042827368e-05,0.0,0.0,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.0099978428333998e-05,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.59805377460884,6000.0,41.242839900020044,49.0,4.0,0.0,141.0,5,0.0,104.02557076532447,102.63204222045945,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,1.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,435.59805377460884,0.0,435.59805377460884,1.0,,,24.0,24.0,,,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,,,15.0,15.0
541.3252178083329,6000.0,25.293647599988617,49.0,4.0,0.0,458.0,6,0.0,149.82571832176598,148.48541114317317,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,541.3252178083329,0.0,541.3252178083329,1.0,,,24.0,24.0,,,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
688.3123571882008,6000.0,35.49177989998134,49.0,5.0,0.0,485.0,7,0.0,191.66563278267722,190.66647530660276,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,688.3123571882008,0.0,688.3123571882008,1.0,,,24.0,24.0,,,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
765.2459160004115,6000.0,34.51419719995465,49.0,5.0,0.0,447.0,8,0.0,222.08077103826625,221.5859191145095,-0.0004911497663666236,-0.032089832001959674,-0.015882548854928142,-0.01284200946485814,-0.04454248746566841,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,0.0,0.0,6.0,0.0,0.0,294.6748509511729,0.0,0.42848963607536916,294.6748509511729,295.1033405872482,0.0,294.6748509511729,0.0,0.3291428008554931,294.6748509511729,295.00399375202835,0.0,294.6748509511729,0.0,0.6232306687080609,294.6748509511729,295.29808161988103,0.0,294.6748509511729,0.0,0.47518920334380255,294.6748509511729,295.1500401545168,0.0,-0.0014282987869177078,-0.0010971426695181208,-0.0020774355623603925,-0.0015839640111461979,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.05298960389924581,0.053404294114067066,0.053804454084765405,0.054036190094031517,0.05425688376610785,0.053957925380132915,0.05343105525658186,0.05217133635419194,0.05224708089519163,0.05262753742220072,0.052984753450606006,0.05323966287770636,0.05342510074163834,0.05321344908958707,0.052681513801684246,0.0514600165370525,1.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,4.0,4.0,4.0,-0.012550967067273341,-0.0012708028708969714,-0.020041751724701243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,765.2459160004115,0.0,765.2459160004115,1.0,,,24.0,24.0,,,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,15.0,15.0
0.0,0.0,33.212149400031194,0.0,0.0,0.0,372.0,9,1.0,235.83366345001525,236.10099459515922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,827.2720975210736,0.0,827.2720975210736,,,,,,,,,,,,,,,,,,,,,,,
807.7657790502105,5759.961550329626,69.79637910000747,75.0,9.0,1.0,566.0,10,0.0,246.85945458178674,246.17141485497825,0.0024037046938372546,-0.08570706217110782,-0.00963908664558973,-0.02698795171472599,0.20233175793246974,6.0,1.0,56.0,56.0,56.0,55.0,50.0,2.0,1.0,0.0,6.0,0.0,0.0,467.92237747006493,0.0,1.1448525633566078,467.92237747006493,469.06723003342154,0.0,467.92237747006493,0.0,1.711000328489149,467.92237747006493,469.6333777985541,0.0,467.92237747006493,0.0,0.42737129111378636,467.92237747006493,468.3497487611787,0.0,467.92237747006493,0.0,1.2971099907113057,467.92237747006493,469.2194874607762,0.0,-0.0038145692262589984,-0.005703334428297163,-0.0014245709703792878,-0.004323699969037496,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,0.0,-0.0026001461794027837,-0.003611867317927597,-0.007497823800776439,0.0036418810672058655,0.003514201406816575,0.0,0.0,0.0,-0.00589531484646102,-0.0074090986916365495,-0.010528998118209641,0.00046150843575603045,0.006947605196303464,0.0,0.00019265544263635803,0.000614241653644676,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,0.0,4.0,-0.0003163920063315572,-0.013382497146358543,0.027414648081515555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,962.9358263478209,807.7657790502105,620.0963754040688,807.7657790502105,962.9358263478209,962.9358263478209,2.0,1.0,0.0,-155.17004729761038,0.0,1.0,0.0,0.0,0.0,962.9358263478209,807.7657790502105,0.0,807.7657790502105,807.7657790502105,962.9358263478209,-155.17004729761038,1.0,2759.961550329627,3000.0,36.0,36.0,,0.3744551309851536,,0.8728254450700709,2.0,2.0,300.0,300.0,2.0,2.0,2759.961550329627,3000.0,3000.0,3000.0,1.0,1.0,15.0,15.0
802.629439999318,5766.165427595868,51.529192799993325,49.0,4.0,1.0,561.0,11,0.0,250.91982270491494,250.77700122106057,0.008396185679820662,-0.0902889100559899,-0.013594102330023821,-0.12567428982584578,0.128144678520548,6.0,1.0,56.0,56.0,56.0,55.0,50.0,3.0,1.0,0.0,6.0,0.0,0.0,477.63080431710983,0.0,0.6282607528031576,477.4491912387269,478.440678148296,0.0,477.63080431710983,0.0,0.34980900757193467,477.63080431710983,477.9806133246817,0.0,477.63080431710983,0.0,0.4140346181110317,477.56856201775366,478.1070812345771,0.0,477.63080431710983,0.0,0.30319103476995224,477.63080431710983,477.9339953518798,0.0,-0.00016844839357217992,-0.0011660300252395927,0.000979742835222947,-0.0005199735436517017,1.0,1379.9807751648134,1500.0,1379.9807751648134,1500.0,1.0,1.0,0.0,-0.001335043182821849,-0.0011456370709748143,-0.0021824528726686054,0.00020107997481044748,0.0,0.0,0.0,0.0,-0.005643616224174508,-0.006530037859550041,-0.009733710313788358,0.005207229942904057,0.0063232499004087115,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.0,4.0,4.0,-0.0027800559076839888,-0.0392388217119143,0.023390233694108073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,936.3514780293651,802.629439999318,611.6579797357022,802.629439999318,802.629439999318,802.629439999318,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,802.629439999318,802.629439999318,0.0,802.629439999318,802.629439999318,802.629439999318,0.0,1.0,2766.165427595868,3000.0,42.0,36.0,,0.4501172971294248,,0.9077464448289653,1.0,2.0,300.0,300.0,2.0,2.0,2766.165427595868,3000.0,2879.980775,3000.0,1.0,1.0,15.0,15.0
