step,time_sec,step_total_ttt,step_urban_ttt,step_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,cumulative_freeway_ttt,computation_time_sec
0,180.0,24.785860738900226,9.276018479787327,15.509842259112897,24.785860738900226,9.276018479787327,15.509842259112897,2.1499989088624716e-05
1,360.0,22.46947972442454,9.116860546354225,13.352619178070317,47.255340463324764,18.39287902614155,28.862461437183214,3.940000897273421e-05
2,540.0,20.904514465412205,8.372388612432076,12.532125852980132,68.15985492873696,26.765267638573626,41.394587290163344,3.71999922208488e-05
3,720.0,20.816095434082506,8.083556336996137,12.732539097086367,88.97595036281948,34.848823975569765,54.12712638724971,2.9699993319809437e-05
4,900.0,20.72752253934334,8.207587539894659,12.519934999448681,109.70347290216282,43.056411515464426,66.6470613866984,3.120000474154949e-05
5,1080.0,20.795375784339555,8.212279862939727,12.58309592139983,130.49884868650238,51.26869137840416,79.23015730809823,215.79399009997724
6,1260.0,27.394290128764123,11.05939677115499,16.334893357609133,157.89313881526652,62.32808814955915,95.56505066570736,223.25807400001213
7,1440.0,44.23382439274977,17.39388044147079,26.839943951278975,202.12696320801626,79.72196859102993,122.40499461698633,219.0413137000287
8,1620.0,59.89743220149846,22.72567086568839,37.171761335810075,262.02439540951474,102.44763945671832,159.57675595279642,220.1428495
9,1800.0,68.32367356286068,24.875685097292514,43.44798846556816,330.3480689723754,127.32332455401084,203.02474441836458,223.31920399999944
10,1980.0,72.56197088333619,25.961541352298166,46.600429531038024,402.9100398557116,153.284865906309,249.6251739494026,226.45883699995466
11,2160.0,75.08299727323856,26.304456390971612,48.778540882266945,477.99303712895016,179.5893222972806,298.40371483166956,227.8132833999698
12,2340.0,76.8923426562542,26.86687233233535,50.02547032391885,554.8853797852043,206.45619462961596,348.4291851555884,228.98407449998194
13,2520.0,78.21939057185021,27.183838002702416,51.0355525691478,633.1047703570546,233.64003263231837,399.4647377247362,228.8032992000226
14,2700.0,79.41843577086686,27.827509833978752,51.59092593688812,712.5232061279214,261.4675424662971,451.05566366162435,228.06403510004748
15,2880.0,80.40491554957636,28.15898718778713,52.245928361789225,792.9281216774979,289.62652965408427,503.3015920234136,226.72076609998476
16,3060.0,81.38995963941917,28.790511429657105,52.599448209762066,874.318081316917,318.41704108374137,555.9010402331756,227.80566569999792
17,3240.0,82.26297140138779,29.145107065523337,53.11786433586445,956.5810527183048,347.5621481492647,609.0189045690402,233.05441719997907
18,3420.0,83.17557794069546,29.77712612233678,53.39845181835867,1039.7566306590004,377.3392742716015,662.4173563873989,226.68953810003586
19,3600.0,84.00656845502613,30.132068191743684,53.87450026328245,1123.7631991140265,407.4713424633452,716.2918566506813,228.46615329995984
20,3780.0,84.8952878871747,30.764239441558058,54.13104844561665,1208.6584870012011,438.23558190490326,770.422905096298,232.10473490000004
21,3960.0,85.71311348013997,31.119196448668774,54.59391703147119,1294.3716004813411,469.35477835357204,825.0168221277692,227.45635990001028
22,4140.0,86.59464914591496,31.75137522017386,54.843273925741094,1380.9662496272563,501.1061535737459,879.8600960535102,254.3501394999912
23,4320.0,87.40851646777674,32.106332778576224,55.302183689200504,1468.374766095033,533.2124863523221,935.1622797427108,261.35196160001215
24,4500.0,88.28783310188116,32.738511302135564,55.5493217997456,1556.662599196914,565.9509976544576,990.7116015424564,263.3298253000248
25,4680.0,89.10042910976043,33.09346847488099,56.00696063487943,1645.7630283066744,599.0444661293386,1046.7185621773358,255.22376190003706
26,4860.0,89.97766663286065,33.729432035553764,56.24823459730688,1735.740694939535,632.7738981648923,1102.9667967746427,243.4676638999954
27,5040.0,90.77427980513427,34.144120818473965,56.630158986660305,1826.5149747446694,666.9180189833663,1159.596955761303,243.4182690999587
28,5220.0,84.96597807485172,30.835960123844995,54.13001795100672,1911.480952819521,697.7539791072113,1213.7269737123097,225.7920904000057
29,5400.0,68.048087284594,22.055817233755363,45.992270050838634,1979.529040104115,719.8097963409666,1259.7192437631484,220.69962920004036
30,5580.0,48.353403824688336,13.423700479832988,34.92970334485535,2027.8824439288032,733.2334968207996,1294.6489471080038,219.9478899000096
31,5760.0,33.27309767254499,9.43819249351337,23.834905179031626,2061.1555416013484,742.671689314313,1318.4838522870355,220.20013599999947
32,5940.0,24.84981755756526,8.561392111306725,16.288425446258536,2086.005359158914,751.2330814256197,1334.772277733294,218.768796999997
33,6120.0,21.16251222071098,8.1424743666786,13.02003785403238,2107.1678713796246,759.3755557922983,1347.7923155873264,220.7406428999966
34,6300.0,20.609608592071194,8.079844367384908,12.529764224686286,2127.777479971696,767.4554001596832,1360.3220798120126,219.05400510004256
35,6480.0,20.56168308284234,7.992070147561853,12.569612935280485,2148.3391630545384,775.4474703072451,1372.891692747293,220.4228235000046
36,6660.0,20.542420830893725,8.050884394323571,12.491536436570154,2168.881583885432,783.4983547015687,1385.3832291838633,222.03245990001597
37,6840.0,20.54348995750564,7.983832281831141,12.559657675674497,2189.4250738429378,791.4821869833999,1397.9428868595378,236.87815859995317
38,7020.0,20.53860067655048,8.048949713149295,12.489650963401187,2209.963674519488,799.5311366965492,1410.432537822939,235.3111765999929
39,7200.0,20.54270669705842,7.983511864507582,12.559194832550837,2230.5063812165467,807.5146485610568,1422.9917326554898,222.39047549996758
40,7380.0,20.538403911850736,8.048871383494117,12.489532528356621,2251.0447851283975,815.5635199445509,1435.4812651838465,221.4855511999922
41,7560.0,20.54265962393361,7.983492612863808,12.559167011069801,2271.587444752331,823.5470125574146,1448.0404321949163,221.72321419999935
42,7740.0,20.538393726667593,8.048865643281722,12.489528083385872,2292.1258384789985,831.5958782006963,1460.5299602783023,221.15879790001782
43,7920.0,20.542657460929245,7.9834912346295495,12.559166226299697,2312.668495939928,839.5793694353259,1473.089126504602,222.6422070999979
44,8100.0,20.538393074647946,8.04886531745436,12.489527757193585,2333.206889014576,847.6282347527803,1485.5786542617957,229.98451789998217
45,8280.0,20.54265730524608,7.983491157571163,12.559166147674917,2353.749546319822,855.6117259103514,1498.1378204094706,239.7057265000185
46,8460.0,20.538393038738135,8.048865299521376,12.489527739216761,2374.28793935856,863.6605912098728,1510.6273481486874,241.39618520002114
47,8640.0,20.54265729671886,7.983491153357756,12.559166143361105,2394.830596655279,871.6440823632305,1523.1865142920485,239.9108626000234
48,8820.0,20.53839303675221,8.048865298532958,12.489527738219252,2415.3689896920314,879.6929476617635,1535.6760420302678,239.75926219997928
49,9000.0,20.542657296250518,7.983491153124561,12.559166143125957,2435.911646988282,887.676438814888,1548.2352081733939,237.10464249999495
50,9180.0,20.538393036641487,8.048865298477986,12.489527738163503,2456.4500400249235,895.725304113366,1560.7247359115574,227.38442509999732
51,9360.0,20.542657296224622,7.9834911531116575,12.559166143112964,2476.9926973211477,903.7087952664776,1573.2839020546703,222.45529199996963
52,9540.0,20.53839303663537,8.048865298474933,12.489527738160435,2497.5310903577833,911.7576605649525,1585.7734297928307,239.57615720003378
53,9720.0,20.54265729622316,7.983491153110917,12.559166143112243,2518.073747654006,919.7411517180634,1598.332595935943,241.4899141000351
54,9900.0,20.53839303663498,8.048865298474709,12.48952773816027,2538.6121406906414,927.7900170165381,1610.822123674103,241.27830040000845
55,10080.0,20.542657296223016,7.983491153110816,12.5591661431122,2559.154797986864,935.7735081696488,1623.3812898172152,240.22225950000575
56,10260.0,20.5383930366349,8.048865298474642,12.48952773816026,2579.693191023499,943.8223734681235,1635.8708175553754,242.19355050002923
57,10440.0,20.542657296222963,7.983491153110761,12.5591661431122,2600.2358483197218,951.8058646212343,1648.4299836984876,241.93062600004487
58,10620.0,20.53839303663485,8.048865298474592,12.489527738160259,2620.7742413563565,959.8547299197088,1660.9195114366478,231.67829599999823
59,10800.0,20.542657296222913,7.983491153110713,12.5591661431122,2641.3168986525793,967.8382210728195,1673.47867757976,209.58359709999058
60,10980.0,20.538393036634808,8.048865298474547,12.489527738160259,2661.855291689214,975.887086371294,1685.9682053179201,209.2710100999684
