N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active
0.0,0.0,2.6800029445439577e-05,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,2.2799998987466097e-05,0.0,0.0,0.0,0.0,1,0.0
0.0,0.0,2.9499991796910763e-05,0.0,0.0,0.0,0.0,2,0.0
0.0,0.0,4.8099958803504705e-05,0.0,0.0,0.0,0.0,3,0.0
0.0,0.0,3.679998917505145e-05,0.0,0.0,0.0,0.0,4,0.0
0.0,0.0,221.42188029998215,0.0,0.0,0.0,0.0,5,0.0
0.0,0.0,217.47245719999773,0.0,0.0,0.0,0.0,6,0.0
0.0,0.0,225.7353591999854,0.0,0.0,0.0,0.0,7,0.0
0.0,0.0,226.94379769999068,0.0,0.0,0.0,0.0,8,0.0
0.0,0.0,233.12278890004382,0.0,0.0,0.0,0.0,9,0.0
0.0,0.0,265.2959625000367,0.0,0.0,0.0,0.0,10,0.0
0.0,0.0,267.9507527000387,0.0,0.0,0.0,0.0,11,0.0
0.0,0.0,269.0146410000161,0.0,0.0,0.0,0.0,12,0.0
0.0,0.0,257.1681034999783,0.0,0.0,0.0,0.0,13,0.0
0.0,0.0,244.2462956000236,0.0,0.0,0.0,0.0,14,0.0
0.0,0.0,238.52835679997224,0.0,0.0,0.0,0.0,15,0.0
0.0,0.0,222.50701760000084,0.0,0.0,0.0,0.0,16,0.0
0.0,0.0,219.16498569998657,0.0,0.0,0.0,0.0,17,0.0
0.0,0.0,219.7020319000003,0.0,0.0,0.0,0.0,18,0.0
0.0,0.0,221.57225480000488,0.0,0.0,0.0,0.0,19,0.0
0.0,0.0,220.47897890000604,0.0,0.0,0.0,0.0,20,0.0
0.0,0.0,222.97435019997647,0.0,0.0,0.0,0.0,21,0.0
0.0,0.0,223.62497810000787,0.0,0.0,0.0,0.0,22,0.0
0.0,0.0,222.8221501999651,0.0,0.0,0.0,0.0,23,0.0
0.0,0.0,234.59026399999857,0.0,0.0,0.0,0.0,24,0.0
0.0,0.0,240.84535970003344,0.0,0.0,0.0,0.0,25,0.0
0.0,0.0,228.88795659999596,0.0,0.0,0.0,0.0,26,0.0
0.0,0.0,222.6314009000198,0.0,0.0,0.0,0.0,27,0.0
0.0,0.0,222.09172679996118,0.0,0.0,0.0,0.0,28,0.0
0.0,0.0,214.8827275999938,0.0,0.0,0.0,0.0,29,0.0
0.0,0.0,210.0488143999828,0.0,0.0,0.0,0.0,30,0.0
0.0,0.0,209.32825649995357,0.0,0.0,0.0,0.0,31,0.0
0.0,0.0,228.72811870003352,0.0,0.0,0.0,0.0,32,0.0
0.0,0.0,235.76940769999055,0.0,0.0,0.0,0.0,33,0.0
0.0,0.0,234.77685030002613,0.0,0.0,0.0,0.0,34,0.0
0.0,0.0,232.8037666999735,0.0,0.0,0.0,0.0,35,0.0
0.0,0.0,232.85247169999639,0.0,0.0,0.0,0.0,36,0.0
0.0,0.0,225.60516430001007,0.0,0.0,0.0,0.0,37,0.0
0.0,0.0,222.52629080001498,0.0,0.0,0.0,0.0,38,0.0
0.0,0.0,220.6740671999869,0.0,0.0,0.0,0.0,39,0.0
0.0,0.0,237.54429589997744,0.0,0.0,0.0,0.0,40,0.0
0.0,0.0,233.8459959999891,0.0,0.0,0.0,0.0,41,0.0
0.0,0.0,233.5201248000376,0.0,0.0,0.0,0.0,42,0.0
0.0,0.0,234.02808870002627,0.0,0.0,0.0,0.0,43,0.0
0.0,0.0,234.5990010999958,0.0,0.0,0.0,0.0,44,0.0
0.0,0.0,236.6027651000186,0.0,0.0,0.0,0.0,45,0.0
0.0,0.0,226.6121351000038,0.0,0.0,0.0,0.0,46,0.0
0.0,0.0,205.6205356999999,0.0,0.0,0.0,0.0,47,0.0
0.0,0.0,206.29506740003126,0.0,0.0,0.0,0.0,48,0.0
0.0,0.0,205.5856665999745,0.0,0.0,0.0,0.0,49,0.0
0.0,0.0,203.75053850002587,0.0,0.0,0.0,0.0,50,0.0
0.0,0.0,212.00472659996012,0.0,0.0,0.0,0.0,51,0.0
0.0,0.0,206.5993578999769,0.0,0.0,0.0,0.0,52,0.0
0.0,0.0,207.61660710000433,0.0,0.0,0.0,0.0,53,0.0
0.0,0.0,205.16895129997283,0.0,0.0,0.0,0.0,54,0.0
0.0,0.0,205.8867873000563,0.0,0.0,0.0,0.0,55,0.0
0.0,0.0,204.5681602000259,0.0,0.0,0.0,0.0,56,0.0
0.0,0.0,205.35761790000834,0.0,0.0,0.0,0.0,57,0.0
0.0,0.0,205.6587145999656,0.0,0.0,0.0,0.0,58,0.0
0.0,0.0,203.9033528,0.0,0.0,0.0,0.0,59,0.0
0.0,0.0,207.3038455999922,0.0,0.0,0.0,0.0,60,0.0
0.0,0.0,203.79845780000323,0.0,0.0,0.0,0.0,61,0.0
0.0,0.0,207.23847689997638,0.0,0.0,0.0,0.0,62,0.0
0.0,0.0,203.80764170002658,0.0,0.0,0.0,0.0,63,0.0
0.0,0.0,205.28006900002947,0.0,0.0,0.0,0.0,64,0.0
0.0,0.0,204.92399600002682,0.0,0.0,0.0,0.0,65,0.0
