N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active
0.0,0.0,2.540001878514886e-05,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,3.890000516548753e-05,0.0,0.0,0.0,0.0,1,0.0
0.0,0.0,1.73999578692019e-05,0.0,0.0,0.0,0.0,2,0.0
0.0,0.0,2.870004391297698e-05,0.0,0.0,0.0,0.0,3,0.0
0.0,0.0,2.95999925583601e-05,0.0,0.0,0.0,0.0,4,0.0
0.0,0.0,216.2193421999691,0.0,0.0,0.0,0.0,5,0.0
0.0,0.0,217.55731090001063,0.0,0.0,0.0,0.0,6,0.0
0.0,0.0,222.258008600038,0.0,0.0,0.0,0.0,7,0.0
0.0,0.0,233.00176979997195,0.0,0.0,0.0,0.0,8,0.0
0.0,0.0,229.02212669997243,0.0,0.0,0.0,0.0,9,0.0
0.0,0.0,231.2699763000128,0.0,0.0,0.0,0.0,10,0.0
0.0,0.0,238.20322319999104,0.0,0.0,0.0,0.0,11,0.0
0.0,0.0,228.66452580003534,0.0,0.0,0.0,0.0,12,0.0
0.0,0.0,249.69644349999726,0.0,0.0,0.0,0.0,13,0.0
0.0,0.0,261.8249345999793,0.0,0.0,0.0,0.0,14,0.0
0.0,0.0,262.90875050000614,0.0,0.0,0.0,0.0,15,0.0
0.0,0.0,258.294310999976,0.0,0.0,0.0,0.0,16,0.0
0.0,0.0,247.18062159995316,0.0,0.0,0.0,0.0,17,0.0
0.0,0.0,241.04778379999334,0.0,0.0,0.0,0.0,18,0.0
0.0,0.0,156.51909019995946,0.0,0.0,0.0,0.0,19,0.0
0.0,0.0,171.16644160001306,0.0,0.0,0.0,0.0,20,0.0
0.0,0.0,171.71228510001674,0.0,0.0,0.0,0.0,21,0.0
0.0,0.0,168.62463969999226,0.0,0.0,0.0,0.0,22,0.0
0.0,0.0,168.1892596000107,0.0,0.0,0.0,0.0,23,0.0
0.0,0.0,118.51134809997166,0.0,0.0,0.0,0.0,24,0.0
0.0,0.0,112.68908360000933,0.0,0.0,0.0,0.0,25,0.0
0.0,0.0,115.53561379999155,0.0,0.0,0.0,0.0,26,0.0
0.0,0.0,168.98489990003873,0.0,0.0,0.0,0.0,27,0.0
0.0,0.0,221.65137370000593,0.0,0.0,0.0,0.0,28,0.0
