N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active
0.0,0.0,1.6599999980826396e-05,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,3.459999970800709e-05,0.0,0.0,0.0,0.0,1,0.0
0.0,0.0,1.699999984339229e-05,0.0,0.0,0.0,0.0,2,0.0
0.0,0.0,1.6899999991437653e-05,0.0,0.0,0.0,0.0,3,0.0
0.0,0.0,1.7100000150094274e-05,0.0,0.0,0.0,0.0,4,0.0
0.0,0.0,41.55979800000023,0.0,0.0,0.0,0.0,5,0.0
0.0,0.0,38.791942199999994,0.0,0.0,0.0,0.0,6,0.0
0.0,0.0,44.13788530000011,0.0,0.0,0.0,0.0,7,0.0
0.0,0.0,38.01126919999979,0.0,0.0,0.0,0.0,8,0.0
0.0,0.0,38.009122800000114,0.0,0.0,0.0,0.0,9,0.0
0.0,0.0,37.76909400000022,0.0,0.0,0.0,0.0,10,0.0
0.0,0.0,36.86048200000005,0.0,0.0,0.0,0.0,11,0.0
0.0,0.0,36.9635873000002,0.0,0.0,0.0,0.0,12,0.0
0.0,0.0,37.45498580000003,0.0,0.0,0.0,0.0,13,0.0
0.0,0.0,37.372778800000106,0.0,0.0,0.0,0.0,14,0.0
0.0,0.0,39.290235600000415,0.0,0.0,0.0,0.0,15,0.0
0.0,0.0,38.994424799999706,0.0,0.0,0.0,0.0,16,0.0
0.0,0.0,37.26758050000035,0.0,0.0,0.0,0.0,17,0.0
0.0,0.0,37.77755859999979,0.0,0.0,0.0,0.0,18,0.0
0.0,0.0,37.77190930000006,0.0,0.0,0.0,0.0,19,0.0
0.0,0.0,37.71436070000027,0.0,0.0,0.0,0.0,20,0.0
0.0,0.0,37.67169060000015,0.0,0.0,0.0,0.0,21,0.0
0.0,0.0,37.60095579999961,0.0,0.0,0.0,0.0,22,0.0
0.0,0.0,37.353253100000074,0.0,0.0,0.0,0.0,23,0.0
0.0,0.0,36.894139500000165,0.0,0.0,0.0,0.0,24,0.0
0.0,0.0,37.232937999999194,0.0,0.0,0.0,0.0,25,0.0
0.0,0.0,37.42900610000015,0.0,0.0,0.0,0.0,26,0.0
0.0,0.0,37.17365019999943,0.0,0.0,0.0,0.0,27,0.0
0.0,0.0,38.27992189999986,0.0,0.0,0.0,0.0,28,0.0
0.0,0.0,38.26939659999971,0.0,0.0,0.0,0.0,29,0.0
