step,time_sec,step_total_ttt,step_urban_ttt,step_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,cumulative_freeway_ttt,computation_time_sec
0,180.0,24.785860738900226,9.276018479787327,15.509842259112897,24.785860738900226,9.276018479787327,15.509842259112897,2.5300018023699522e-05
1,360.0,22.46947972442454,9.116860546354225,13.352619178070317,47.255340463324764,18.39287902614155,28.862461437183214,2.0499981474131346e-05
2,540.0,20.904514465412205,8.372388612432076,12.532125852980132,68.15985492873696,26.765267638573626,41.394587290163344,1.839996548369527e-05
3,720.0,20.816095434082506,8.083556336996137,12.732539097086367,88.97595036281948,34.848823975569765,54.12712638724971,1.7400016076862812e-05
4,900.0,20.72752253934334,8.207587539894659,12.519934999448681,109.70347290216282,43.056411515464426,66.6470613866984,1.9900035113096237e-05
5,1080.0,20.810525945720194,8.184459748822935,12.626066196897257,130.51399884788302,51.240871264287364,79.27312758359565,424.4175648999517
6,1260.0,28.75529496369657,11.802909257648638,16.95238570604793,159.2692938115796,63.043780521936,96.22551328964359,497.20855430001393
7,1440.0,48.54133787869617,21.722781299158257,26.818556579537912,207.81063169027576,84.76656182109426,123.0440698691815,454.2825645999983
8,1620.0,68.22601405964491,33.7888524610123,34.437161598632606,276.03664574992064,118.55541428210655,157.4812314678141,356.0366286999779
9,1800.0,81.77777922049623,43.3154477200694,38.462331500426835,357.8144249704169,161.87086200217595,195.94356296824094,354.8222050999757
10,1980.0,92.02338277116166,52.58367201080546,39.439710760356206,449.83780774157856,214.4545340129814,235.38327372859715,415.523727300053
11,2160.0,101.18325918111522,61.020195414381,40.16306376673422,551.0210669226938,275.47472942736243,275.5463374953314,336.1740205999813
12,2340.0,110.22667993290031,70.3803460768895,39.84633385601081,661.2477468555942,345.85507550425194,315.3926713513422,480.13811160001205
13,2520.0,119.88520660395257,79.64749856034938,40.23770804360319,781.1329534595468,425.50257406460133,355.6303793949454,380.5322133000009
14,2700.0,129.98471752179722,90.09419097244636,39.890526549350874,911.117670981344,515.5967650370477,395.52090594429626,262.33830339997075
15,2880.0,141.651420641729,101.6000954615047,40.05132518022432,1052.7690916230729,617.1968604985524,435.57223112452056,331.5402075999882
16,3060.0,154.50753064833015,114.45078045548233,40.05675019284782,1207.276622271403,731.6476409540347,475.62898131736836,441.5265908999718
