step,time_sec,step_total_ttt,step_urban_ttt,step_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,cumulative_freeway_ttt,computation_time_sec
0,180.0,24.785860738900226,9.276018479787327,15.509842259112897,24.785860738900226,9.276018479787327,15.509842259112897,2.770003629848361e-05
1,360.0,22.46947972442454,9.116860546354225,13.352619178070317,47.255340463324764,18.39287902614155,28.862461437183214,2.1499989088624716e-05
2,540.0,20.904514465412205,8.372388612432076,12.532125852980132,68.15985492873696,26.765267638573626,41.394587290163344,2.9399991035461426e-05
3,720.0,20.816095434082506,8.083556336996137,12.732539097086367,88.97595036281948,34.848823975569765,54.12712638724971,2.870004391297698e-05
4,900.0,20.72752253934334,8.207587539894659,12.519934999448681,109.70347290216282,43.056411515464426,66.6470613866984,2.8499984182417393e-05
5,1080.0,20.795375784339555,8.212279862939727,12.58309592139983,130.49884868650238,51.26869137840416,79.23015730809823,45.44477010000264
6,1260.0,32.805686308757934,13.529333829628733,19.2763524791292,163.30453499526033,64.7980252080329,98.50650978722743,44.565926100010984
7,1440.0,63.80271462975749,26.350050585095232,37.45266404466226,227.10724962501783,91.14807579312813,135.9591738318897,58.88223190000281
8,1620.0,94.80043966956764,40.63958534718469,54.160854322382946,321.90768929458545,131.78766114031282,190.12002815427263,58.95647039997857
9,1800.0,117.3999663129174,51.010769043042764,66.38919726987464,439.30765560750285,182.79843018335558,256.5092254241473,55.64376289997017
10,1980.0,136.83538931630227,61.344633359365474,75.49075595693678,576.1430449238051,244.14306354272105,331.99998138108407,58.257181599969044
11,2160.0,154.8581712365285,70.60361173690056,84.25455949962796,731.0012161603337,314.7466752796216,416.25454088071206,55.68556329997955
12,2340.0,172.71081177778785,80.6788992178013,92.03191255998655,903.7120279381215,395.42557449742293,508.2864534406986,54.92433109995909
13,2520.0,191.03534323892328,91.58827247979981,99.44707075912346,1094.747371177045,487.0138469772227,607.7335241998221,68.94753170001786
14,2700.0,209.87528766723506,107.88049449664608,101.99479317058898,1304.62265884428,594.8943414738688,709.7283173704111,67.74852949997876
15,2880.0,227.86931694092738,125.37199437077017,102.49732257015721,1532.4919757852072,720.266335844639,812.2256399405683,56.23381270002574
16,3060.0,247.46187669260385,144.87967548928583,102.58220120331802,1779.9538524778113,865.1460113339249,914.8078411438863,58.19503820000682
17,3240.0,269.3369596573576,167.2035362856895,102.13342337166813,2049.290812135169,1032.3495476196144,1016.9412645155544,56.17939840001054
18,3420.0,292.3596603896315,188.27659504891568,104.08306534071582,2341.6504725248005,1220.62614266853,1121.0243298562702,25.241426500026137
19,3600.0,315.71118121824145,207.92169489534126,107.78948632290022,2657.3616537430416,1428.5478375638713,1228.8138161791705,24.428851099975873
20,3780.0,339.6147594682464,225.88971893616207,113.72504053208434,2996.9764132112887,1654.4375565000335,1342.538856711255,20.73246589995688
21,3960.0,365.41762328489773,246.36388577111742,119.0537375137803,3362.3940364961863,1900.8014422711508,1461.5925942250353,57.895960800000466
22,4140.0,392.94390848868414,271.0804365084233,121.86347198026084,3755.33794498487,2171.881878779574,1583.456066205296,58.855230599991046
23,4320.0,421.8015240966283,297.50591025291516,124.2956138437132,4177.139469081499,2469.3877890324893,1707.7516800490093,51.500667799962685
24,4500.0,450.74218132153806,324.1604923268958,126.58168899464229,4627.8816504030365,2793.5482813593853,1834.3333690436516,53.585814199992456
25,4680.0,479.8595358437176,350.09767102713147,129.76186481658613,5107.741186246754,3143.645952386517,1964.0952338602378,56.095677500008605
26,4860.0,506.03849274357685,375.3369676278243,130.7015251157525,5613.779678990331,3518.9829200143413,2094.7967589759905,55.87194189999718
27,5040.0,532.6815995779864,400.5596003035708,132.12199927441566,6146.461278568318,3919.542520317912,2226.9187582504064,55.33007309999084
28,5220.0,547.7762186487155,418.4280714000602,129.34814724865524,6694.237497217035,4337.970591717973,2356.2669054990615,55.30017579998821
