N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_min,wu_faithful_np_original_target,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projection_residual,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error
0.0,0.0,3.190001007169485e-05,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.0400038920342922e-05,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.859998494386673e-05,0.0,0.0,0.0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.6900012269616127e-05,0.0,0.0,0.0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.759997732937336e-05,0.0,0.0,0.0,0.0,4,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.7409370000241324,0.0,0.0,0.0,356.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,507.89055377460886,0.0,507.89055377460886
0.0,0.0,1.9075503000058234,0.0,0.0,0.0,386.0,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,658.3177254696801,0.0,658.3177254696801
0.0,0.0,1.7480353999999352,0.0,0.0,0.0,418.0,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,867.7377728902311,0.0,867.7377728902311
0.0,0.0,1.7592276000068523,0.0,0.0,0.0,371.0,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,980.045387176265,0.0,980.045387176265
0.0,0.0,1.7811466999701224,0.0,0.0,0.0,366.0,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1040.6134252852653,0.0,1040.6134252852653
0.0,0.0,2.10020699998131,0.0,0.0,0.0,421.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1079.897710490477,0.0,1079.897710490477
0.0,0.0,2.4638116999994963,0.0,0.0,0.0,469.0,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1138.1544630187018,0.0,1138.1544630187018
0.0,0.0,2.3319817000301555,0.0,0.0,0.0,474.0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1244.2518519423854,0.0,1244.2518519423854
0.0,0.0,2.3262286000535823,0.0,0.0,0.0,432.0,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1332.2443711101566,0.0,1332.2443711101566
0.0,0.0,2.4625473000342026,0.0,0.0,0.0,462.0,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1454.4200138485637,0.0,1454.4200138485637
