N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active
0.0,0.0,5.019997479394078e-05,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,3.3699965570122004e-05,0.0,0.0,0.0,0.0,1,0.0
0.0,0.0,1.899997005239129e-05,0.0,0.0,0.0,0.0,2,0.0
0.0,0.0,1.7300015315413475e-05,0.0,0.0,0.0,0.0,3,0.0
0.0,0.0,1.750001683831215e-05,0.0,0.0,0.0,0.0,4,0.0
0.0,0.0,7.007648800034076,0.0,0.0,0.0,0.0,5,0.0
0.0,0.0,7.054997899977025,0.0,0.0,0.0,0.0,6,0.0
0.0,0.0,7.548752700036857,0.0,0.0,0.0,0.0,7,0.0
0.0,0.0,7.699690800043754,0.0,0.0,0.0,0.0,8,0.0
0.0,0.0,7.28229680005461,0.0,0.0,0.0,0.0,9,0.0
0.0,0.0,17.86126160004642,0.0,0.0,0.0,0.0,10,0.0
0.0,0.0,7.681585100013763,0.0,0.0,0.0,0.0,11,0.0
0.0,0.0,7.399401300004683,0.0,0.0,0.0,0.0,12,0.0
0.0,0.0,7.0873370000044815,0.0,0.0,0.0,0.0,13,0.0
0.0,0.0,7.02654429996619,0.0,0.0,0.0,0.0,14,0.0
0.0,0.0,7.4885676999692805,0.0,0.0,0.0,0.0,15,0.0
0.0,0.0,7.496660600008909,0.0,0.0,0.0,0.0,16,0.0
0.0,0.0,7.843186100013554,0.0,0.0,0.0,0.0,17,0.0
0.0,0.0,7.311950900009833,0.0,0.0,0.0,0.0,18,0.0
0.0,0.0,7.463225300016347,0.0,0.0,0.0,0.0,19,0.0
0.0,0.0,18.098847299988847,0.0,0.0,0.0,0.0,20,0.0
0.0,0.0,7.720394900010433,0.0,0.0,0.0,0.0,21,0.0
0.0,0.0,7.444790399982594,0.0,0.0,0.0,0.0,22,0.0
0.0,0.0,7.988536400021985,0.0,0.0,0.0,0.0,23,0.0
0.0,0.0,7.495845999976154,0.0,0.0,0.0,0.0,24,0.0
0.0,0.0,7.6247048000223,0.0,0.0,0.0,0.0,25,0.0
0.0,0.0,7.734338900016155,0.0,0.0,0.0,0.0,26,0.0
0.0,0.0,7.55585110001266,0.0,0.0,0.0,0.0,27,0.0
0.0,0.0,7.614210199972149,0.0,0.0,0.0,0.0,28,0.0
0.0,0.0,7.615938000031747,0.0,0.0,0.0,0.0,29,0.0
0.0,0.0,18.103717099991627,0.0,0.0,0.0,0.0,30,0.0
0.0,0.0,7.055464200035203,0.0,0.0,0.0,0.0,31,0.0
0.0,0.0,7.097043999994639,0.0,0.0,0.0,0.0,32,0.0
0.0,0.0,7.176702800032217,0.0,0.0,0.0,0.0,33,0.0
0.0,0.0,7.521149999985937,0.0,0.0,0.0,0.0,34,0.0
0.0,0.0,7.214027699956205,0.0,0.0,0.0,0.0,35,0.0
0.0,0.0,7.343533000035677,0.0,0.0,0.0,0.0,36,0.0
0.0,0.0,7.310019199969247,0.0,0.0,0.0,0.0,37,0.0
0.0,0.0,7.492331599991303,0.0,0.0,0.0,0.0,38,0.0
0.0,0.0,7.532282000000123,0.0,0.0,0.0,0.0,39,0.0
0.0,0.0,17.51720689999638,0.0,0.0,0.0,0.0,40,0.0
0.0,0.0,6.845616100006737,0.0,0.0,0.0,0.0,41,0.0
0.0,0.0,6.77567280002404,0.0,0.0,0.0,0.0,42,0.0
0.0,0.0,6.799877499986906,0.0,0.0,0.0,0.0,43,0.0
0.0,0.0,7.323020099953283,0.0,0.0,0.0,0.0,44,0.0
0.0,0.0,7.586471199989319,0.0,0.0,0.0,0.0,45,0.0
