N_P_star,N_UF_star,allocation_A_E_to_N,allocation_A_E_to_S,allocation_A_E_to_W,allocation_A_N_to_E,allocation_A_N_to_S,allocation_A_N_to_W,allocation_A_S_to_E,allocation_A_S_to_N,allocation_A_S_to_W,allocation_A_W_to_E,allocation_A_W_to_N,allocation_A_W_to_S,allocation_B_E_to_N,allocation_B_E_to_S,allocation_B_E_to_W,allocation_B_N_to_E,allocation_B_N_to_S,allocation_B_N_to_W,allocation_B_S_to_E,allocation_B_S_to_N,allocation_B_S_to_W,allocation_B_W_to_E,allocation_B_W_to_N,allocation_B_W_to_S,allocation_C_E_to_N,allocation_C_E_to_S,allocation_C_E_to_W,allocation_C_N_to_E,allocation_C_N_to_S,allocation_C_N_to_W,allocation_C_S_to_E,allocation_C_S_to_N,allocation_C_S_to_W,allocation_C_W_to_E,allocation_C_W_to_N,allocation_C_W_to_S,allocation_D_E_to_N,allocation_D_E_to_W,allocation_D_E_to_onE,allocation_D_E_to_onW,allocation_D_N_to_E,allocation_D_N_to_W,allocation_D_N_to_onE,allocation_D_N_to_onW,allocation_D_W_to_E,allocation_D_W_to_N,allocation_D_W_to_onE,allocation_D_W_to_onW,allocation_D_offE_to_E,allocation_D_offE_to_N,allocation_D_offE_to_W,allocation_D_offW_to_E,allocation_D_offW_to_N,allocation_D_offW_to_W,allocation_E_E_to_N,allocation_E_E_to_W,allocation_E_N_to_E,allocation_E_N_to_W,allocation_E_W_to_E,allocation_E_W_to_N,allocation_F_E_to_N,allocation_F_E_to_W,allocation_F_E_to_onE,allocation_F_E_to_onW,allocation_F_N_to_E,allocation_F_N_to_W,allocation_F_N_to_onE,allocation_F_N_to_onW,allocation_F_W_to_E,allocation_F_W_to_N,allocation_F_W_to_onE,allocation_F_W_to_onW,allocation_F_offE_to_E,allocation_F_offE_to_N,allocation_F_offE_to_W,allocation_F_offW_to_E,allocation_F_offW_to_N,allocation_F_offW_to_W,allocation_in_A_left,allocation_in_A_top,allocation_in_B_top,allocation_in_C_right,allocation_in_C_top,allocation_in_D_left,allocation_in_F_right,allocation_out_A_left,allocation_out_A_top,allocation_out_B_top,allocation_out_C_right,allocation_out_C_top,allocation_out_D_left,allocation_out_F_right,green_A_p1,green_A_p2,green_B_p1,green_B_p2,green_C_p1,green_C_p2,green_D_p1,green_D_p2,green_F_p1,green_F_p2,offset_A,offset_B,offset_C,offset_D,offset_F,ramp_metering_R_D_E,ramp_metering_R_D_W,ramp_metering_R_F_E,ramp_metering_R_F_W,step,time_sec,vsl_FW_E,vsl_FW_W
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,905.6515731531906,905.6515731531906,905.6515731531906,0.0,1073.3333333333335,1073.3333333333335,903.8467983747771,903.8467983747771,903.8467983747771,1073.3333333333335,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1072.7222327062982,1072.7222327062982,1072.7222327062982,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,750.0,0.0,1073.3333333333335,750.0,750.0,1033.6520218118594,1033.6520218118594,1033.6520218118594,1033.6520218118594,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,749.9662141726225,1073.3333333333335,0.0,750.0,749.9662141726225,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.331547712889076,66.66845228711092,54.123978885975326,57.876021114024674,54.11472072173106,57.88527927826894,55.14710294980494,56.85289705019506,52.7544045895516,59.2455954104484,1.0618910519273068,119.269375769144,119.0168425719168,0.22164969181069938,115.38980177785156,1500.0,1500.0,1500.0,1499.932428345245,0,180.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,889.0736770379717,889.0736770379717,889.0736770379717,0.0,1073.3333333333335,1073.3333333333335,1057.8333919945785,1057.8333919945785,1057.8333919945785,1073.3333333333335,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,884.0329184603563,884.0329184603563,884.0329184603563,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,750.0,0.0,1073.3333333333335,750.0,750.0,1026.6617825978085,1026.6617825978085,1026.6617825978085,1026.6617825978085,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1066.8879448484697,1066.8879448484697,1066.8879448484697,1066.8879448484697,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.563901116816105,72.43609888318389,52.02742839427508,59.97257160572492,50.061193495661215,61.938806504338785,48.588281711066784,63.411718288933216,48.778733622760384,63.221266377239616,1.4820250906514179,116.76316853966887,4.473291534514473,117.84565398630501,111.12989871420324,1500.0,1500.0,1500.0,1500.0,1,360.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,946.0598525335315,946.0598525335315,946.0598525335315,0.0,1073.3333333333335,1073.3333333333335,1000.2549736790505,1000.2549736790505,1000.2549736790505,1073.3333333333335,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,799.0583400992765,799.0583400992765,799.0583400992765,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,750.0,0.0,1073.3333333333335,750.0,750.0,970.8289574066798,970.8289574066798,970.8289574066798,970.8289574066798,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,743.4126506057024,1073.3333333333335,0.0,750.0,743.4126506057024,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.04074496287883,71.95925503712117,59.716614110198144,52.283385889801856,50.44916451171975,61.55083548828025,43.73951889417741,68.26048110582259,50.14106052839771,61.85893947160229,0.6818839442752467,116.46413182671634,2.826261683628034,116.82777074905015,110.77528974376598,1500.0,1500.0,1500.0,1486.8253012114048,2,540.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,946.0598525335314,946.0598525335314,946.0598525335314,0.0,1073.3333333333335,1073.3333333333335,1000.2549736790505,1000.2549736790505,1000.2549736790505,1073.3333333333335,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,799.0583400992765,799.0583400992765,799.0583400992765,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,750.0,0.0,1073.3333333333335,750.0,750.0,970.8289574066798,970.8289574066798,970.8289574066798,970.8289574066798,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,743.4126506057024,1073.3333333333335,0.0,750.0,743.4126506057024,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.04074496287883,71.95925503712117,59.716614110198144,52.283385889801856,50.44916451171975,61.55083548828025,43.73951889417741,68.26048110582259,50.14106052839771,61.85893947160229,0.6818839442752467,116.46413182671634,2.826261683628034,116.82777074905015,110.77528974376598,1500.0,1500.0,1500.0,1486.8253012114048,3,720.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,922.6108570649893,922.6108570649893,922.6108570649893,0.0,1073.3333333333335,1073.3333333333335,1028.9776603824978,1028.9776603824978,1028.9776603824978,1073.3333333333335,0.0,0.0,895.0190449375988,895.0190449375988,895.0190449375988,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,895.7272215053717,895.7272215053717,895.7272215053717,969.7712356786366,969.7712356786366,969.7712356786366,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,750.0,0.0,1073.3333333333335,750.0,750.0,1069.2504781167092,1069.2504781167092,1069.2504781167092,1069.2504781167092,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.82738834169494,69.17261165830506,57.8999638056437,54.1000361943563,55.49256074140184,56.50743925859816,42.03070622379534,69.96929377620467,44.503806512347836,67.49619348765216,3.5185823257784126,115.92137154062605,2.001049194263828,116.76961030054105,117.59174722807566,1500.0,1500.0,1500.0,1500.0,4,900.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,975.4820810875783,975.4820810875783,975.4820810875783,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,943.5664208398138,943.5664208398138,943.5664208398138,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,993.7196315924807,993.7196315924807,993.7196315924807,926.5155418342716,926.5155418342716,926.5155418342716,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,747.9107901298153,0.0,1073.3333333333335,750.0,747.9107901298153,1018.6254134304446,1018.6254134304446,1018.6254134304446,1018.6254134304446,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.64678253416592,61.35321746583408,65.08301823533168,46.91698176466832,53.34393696161707,58.65606303838293,48.827232266308044,63.172767733691956,47.53272895078191,64.46727104921808,7.105469302581167,116.07332929656218,2.1847254087605767,119.89546147189961,115.27218146942192,1500.0,1495.8215802596305,1500.0,1500.0,5,1080.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,975.4820810875784,975.4820810875784,975.4820810875784,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,943.5664208398138,943.5664208398138,943.5664208398138,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,993.7196315924807,993.7196315924807,993.7196315924807,926.5155418342716,926.5155418342716,926.5155418342716,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,747.9107901298153,0.0,1073.3333333333335,750.0,747.9107901298153,1018.6254134304446,1018.6254134304446,1018.6254134304446,1018.6254134304446,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.64678253416592,61.35321746583408,65.08301823533168,46.91698176466832,53.34393696161707,58.65606303838293,48.827232266308044,63.172767733691956,47.53272895078191,64.46727104921808,7.105469302581167,116.07332929656218,2.1847254087605767,119.89546147189961,115.27218146942192,1500.0,1495.8215802596305,1500.0,1500.0,6,1260.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,975.4820810875784,975.4820810875784,975.4820810875784,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,943.5664208398138,943.5664208398138,943.5664208398138,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,993.7196315924807,993.7196315924807,993.7196315924807,926.5155418342716,926.5155418342716,926.5155418342716,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,747.9107901298153,0.0,1073.3333333333335,750.0,747.9107901298153,1018.6254134304446,1018.6254134304446,1018.6254134304446,1018.6254134304446,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.64678253416592,61.35321746583408,65.08301823533168,46.91698176466832,53.34393696161707,58.65606303838293,48.827232266308044,63.172767733691956,47.53272895078191,64.46727104921808,7.105469302581167,116.07332929656218,2.1847254087605767,119.89546147189961,115.27218146942192,1500.0,1495.8215802596305,1500.0,1500.0,7,1440.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,975.4820810875784,975.4820810875784,975.4820810875784,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,943.5664208398138,943.5664208398138,943.5664208398138,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,993.7196315924807,993.7196315924807,993.7196315924807,926.5155418342716,926.5155418342716,926.5155418342716,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,747.9107901298153,0.0,1073.3333333333335,750.0,747.9107901298153,1018.6254134304446,1018.6254134304446,1018.6254134304446,1018.6254134304446,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.64678253416592,61.35321746583408,65.08301823533168,46.91698176466832,53.34393696161707,58.65606303838293,48.827232266308044,63.172767733691956,47.53272895078191,64.46727104921808,7.105469302581167,116.07332929656218,2.1847254087605767,119.89546147189961,115.27218146942192,1500.0,1495.8215802596305,1500.0,1500.0,8,1620.0,100.0,100.0
0.0,0.0,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,996.8033835295017,996.8033835295017,996.8033835295017,0.0,1073.3333333333335,0.0,0.0,1073.3333333333335,0.0,1047.9013938009593,1047.9013938009593,1047.9013938009593,1020.5285705883817,1020.5285705883817,1020.5285705883817,1073.3333333333335,1073.3333333333335,0.0,1073.3333333333335,1073.3333333333335,0.0,0.0,1073.3333333333335,750.0,750.0,0.0,1073.3333333333335,750.0,750.0,1034.1222209184718,1034.1222209184718,1034.1222209184718,1034.1222209184718,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,0.0,750.0,750.0,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,1073.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88557704279145,60.11442295720855,73.0076308706889,38.9923691293111,60.35066982916033,51.64933017083967,49.526574381030464,62.473425618969536,50.8577088865589,61.1422911134411,7.512435917670392,116.16694780929107,2.9262930058536503,1.599060020941991,114.24802685732384,1500.0,1500.0,1500.0,1500.0,9,1800.0,100.0,100.0
