control,directional_accuracy,event_id,mediator_change,outcome_actual_ttt,outcome_counterfactual_ttt,outcome_gain,response_delay_intervals,shifted_subsystem_delta,status,t0_step,threshold,trigger_value
allocation_green,True,allocation_green_0,"{""delta_B_in"": -0.04478273795547755, ""delta_departures"": 444.4588593634717}",248.45871485383952,262.6718957463975,14.213180892558,0,-0.7520719376808955,MECHANISM_REPRODUCED,0,0.03,0.12936762602515506
offset,True,offset_2,"{""delta_urban_ttt_rate"": 0.0}",316.6513867498884,319.28225796694346,2.6308712170550734,0,-0.2480081393679967,MECHANISM_REPRODUCED,2,0.25,0.2959411904648232
offset,True,offset_22,"{""delta_urban_ttt_rate"": 0.0}",1218.3514016217587,1217.032939405614,-1.3184622161447805,0,-2.4958798827087776,ACTIVATED_BUT_INEFFECTIVE,22,0.25,0.36348840737112437
offset,True,offset_32,"{""delta_urban_ttt_rate"": 0.0}",1649.3554394466983,1657.9127492199275,8.557309773229235,0,-1.8860782812296435,MECHANISM_REPRODUCED,32,0.25,0.34990040769345654
offset,True,offset_38,"{""delta_urban_ttt_rate"": 0.0}",591.3081521601423,590.8492148735045,-0.45893728663781985,0,-0.9424689793775087,ACTIVATED_BUT_INEFFECTIVE,38,0.25,0.3961916155536256
vsl,False,vsl_7,"{""delta_density_exceedance"": 0.5}",481.93239846846905,481.66692434749314,-0.2654741209759095,1,-0.29064173522166925,WRONG_DIRECTION,7,0.85,1.0
vsl,False,vsl_12,"{""delta_density_exceedance"": 1.25}",718.9995673315152,718.5033253627267,-0.4962419687884676,0,-0.5095331068038362,WRONG_DIRECTION,12,0.85,1.0
vsl,False,vsl_20,"{""delta_density_exceedance"": 1.25}",1121.174972478061,1120.565972610384,-0.6089998676768573,0,-0.6307784194445034,WRONG_DIRECTION,20,0.85,1.0
vsl,False,vsl_29,"{""delta_density_exceedance"": 12.0}",1532.1233632224228,1531.7101603579333,-0.413202864489449,1,-0.44971183695113126,WRONG_DIRECTION,29,0.85,1.0
metering,True,metering_7,"{""delta_receiving"": 0.0, ""delta_ramp_queue"": -1.9780059237691852}",481.93239846846905,481.35380494991165,-0.5785935185573976,0,-0.6097643597013445,ACTIVATED_BUT_INEFFECTIVE,7,0.15,0.15311580239280387
metering,False,metering_12,"{""delta_receiving"": -3.287424686482243e-05, ""delta_ramp_queue"": -0.5314642424110438}",718.9995673315152,718.63865563473,-0.3609116967852515,0,-0.3893876887919703,WRONG_DIRECTION,12,0.15,0.2257822750314915
metering,False,metering_18,"{""delta_receiving"": -4.226302078969013e-05, ""delta_ramp_queue"": -3.293434246558819}",1022.7216663674999,1022.2203317118694,-0.5013346556304441,0,-0.5224446303909005,WRONG_DIRECTION,18,0.15,0.18075908775739746
metering,False,metering_25,"{""delta_receiving"": -0.0005689471503371735, ""delta_ramp_queue"": 1.0632063748386251}",1355.6294332963732,1354.9015632972855,-0.7278699990877158,0,-0.7673238920163143,WRONG_DIRECTION,25,0.15,0.20319743037689397
