N_P_star,N_UF_star,freeway_ttt,offramp_accepted_veh,offramp_blocked_veh,onramp_approach_queue_veh,onramp_transfer_veh,ramp_queue_veh,step,urban_ttt
469.1529,4000.0,5.810468679853352,38.5995988647509,0.0,61.14732485856977,137.02777777777777,12.708796296296315,0,15.358125156404268
469.1529,4275.0,6.612567651233489,43.842910949789285,0.0,125.5177399745288,163.37637320275826,6.035377214968053,1,27.30545945578441
469.1529,5683.457092732174,6.463568235604656,43.786573840495755,0.0,202.4353168538804,147.36816825602833,4.666666666666668,2,35.198022805188096
469.1529,4000.0,6.658127097958941,44.01500985432007,0.0,284.54975233495935,164.47999354064223,6.081254226627484,3,40.75644549688763
469.1529,6000.0,6.677316628699924,44.53251594584114,0.0,362.01298914353066,147.910154115436,4.666666666666668,4,46.92199139997331
495.21695,5098.333333333334,6.895428026968854,44.94679960318817,0.0,445.4750033879721,165.54614555412158,6.125429731281679,5,52.56607374147623
469.1529,6000.0,6.924844532621355,45.3216896657963,0.0,519.588912231164,148.42511208761653,4.666666666666668,6,59.19473913950131
495.21695,3059.0,7.242010378022862,45.36247071557198,0.0,620.8838939379004,166.54857704226876,14.433909418083296,7,65.11310286401367
469.1529,5700.0,7.279140662809111,46.40854561380661,0.0,721.0159731269005,148.89712860258598,4.666666666666668,8,72.05172193397422
495.21695,6000.0,7.44679720837038,46.625196124390385,0.0,818.6738124665636,167.4578944624911,6.19644996200307,9,78.92226418125924
469.1529,3451.389415253788,7.499446281693887,46.69019398175482,0.0,922.7288651066078,149.31979772580206,4.666666666666666,10,86.21340876149745
469.1529,6000.0,7.740980963949548,47.21522250743614,0.0,1018.171636440152,168.26165100948984,6.220818324042368,11,93.39134508053144
495.21695,4284.898885571116,7.769113107737435,47.46087030285801,0.0,1111.0869424943708,149.68248243962682,4.666666666666667,12,102.0656255129649
469.1529,4000.0,8.012094534517457,47.68439510319272,0.0,1211.955482564298,168.9348222745993,6.63904767805833,13,110.16717233813442
469.1529,6000.0,8.091012778123313,47.76841527788764,0.0,1311.0974290128593,149.97405765544084,4.666666666666667,14,118.85551353587095
495.21695,6000.0,8.399098399899787,48.03946745312887,0.0,1405.4025715822465,169.45847836035122,6.253924878726714,15,127.58899297785618
469.1529,2888.4431094945016,8.56061638587504,47.785464216483746,0.0,1506.5718839117828,150.18670971262554,9.152387962018397,16,136.77686183098248
469.1529,3758.842941667771,8.922871346700047,48.251984685654804,0.0,1605.0256665903453,169.8252033579352,12.52870028514983,17,145.41092971333825
495.21695,2000.0,9.416369749509705,46.30640596922234,0.0,1706.5779701064025,150.31858411377746,46.39611253281804,18,154.47493710435265
495.21695,4000.0,10.394318594659596,47.94315102650579,0.0,1808.2712389970402,170.02284322567843,33.12872138527468,19,163.11912933352747
495.21695,2000.0,10.886981279623154,46.49951174632973,0.0,1907.4297887215623,150.36412708802212,66.8348015986524,20,172.23317809136216
469.1529,2000.0,12.271157045863967,45.15308109225654,0.0,2006.1452559581116,170.04653141410802,133.54972363783133,21,180.74304655647492
469.1529,4000.0,13.477450222529887,47.38087732307684,0.0,2108.3986344846867,150.32221721618518,103.20561897903063,22,189.7909409113393
469.1529,2520.7342499680044,13.908879918936435,47.62255081545425,0.0,2213.6752293072173,169.89568464140822,136.13866924672146,23,198.80873714065706
521.281,3749.842681744334,14.242561567310608,48.20641531559229,0.0,2322.3515877500517,150.19388645840212,108.94632156060678,24,207.9653208517028
469.1529,2000.0,14.757976607317538,46.15274113601555,0.0,2433.3041211512104,169.5740172557546,163.0430919874577,25,216.01414372925456
469.1529,4000.0,15.463904893629103,47.75650228656083,0.0,2543.9733142822424,149.98229474383493,129.92993736551213,26,224.2201007293947
469.1529,1687.9295851435122,15.968646085410098,45.48499952029374,0.0,2644.1118825953117,169.0871431902828,194.88080727689817,27,232.19471719877566
495.21695,4000.0,16.810320162297053,47.177728050733464,0.0,2744.9197070508176,149.6895281075872,163.7430807287057,28,240.713287893093
469.1529,2137.5,17.15183032150457,45.755138391650185,0.0,2831.8320591417687,168.4504326023232,210.528062399873,29,248.6112548433245
469.1529,4000.0,17.586479108403502,47.39087594664232,0.0,2921.7491577238493,149.32827367781573,175.52324589145763,30,256.6846819653126
486.5289333333333,2137.5,17.67265195258441,45.60274512974408,0.0,3006.2064703677493,167.6789293085501,220.83555716276152,31,264.9471550381436
503.9049666666666,4000.0,17.92659354871583,47.10519150212038,0.0,3093.4346469958814,148.90507255072234,185.26730610603408,32,272.3186898816485
469.1529,2850.0,17.64444122073854,46.488947944197086,0.0,3183.3721987372473,166.78943569324534,201.1620770777895,33,279.60896587795014
486.5289333333333,3115.9373676408227,17.34722492988466,46.44788219961447,0.0,3284.0477592092006,148.42511208761653,194.77076151547482,34,286.562250253278
469.1529,4000.0,16.872859737123164,47.35551874124971,0.0,3371.723567144215,165.80362454021184,169.6111005257003,35,292.74263875867024
469.1529,3562.5,15.683105971397135,47.67454639933278,0.0,3459.6797307646834,147.910154115436,136.82859753513878,36,298.81580516048814
486.5289333333333,3562.5,14.646856147602207,46.82226605022571,0.0,3531.7626559052387,164.75098647034608,122.94105258428533,37,304.3979829816453
486.5289333333333,2850.0,13.53581962133399,46.13082392366019,0.0,3615.4623449189367,147.36816825602833,120.58151455607377,38,310.10675845943683
503.9049666666666,4192.76448639595,12.539113186082881,46.91327441116611,0.0,3693.097668313563,163.6542073307724,86.57960117416016,39,315.1184864365864
