n,controller,normalized_work
1.0,NO-CONTROL,1.0
1.0,WU-CD-F,72.0
1.0,CLASSICAL-HIERARCHICAL,18.0
1.0,WU-FAITHFUL-FOLLOWER / PFO,216.0
1.0,P-STACK-WU-FAITHFUL,1728.0
1.0,CENTRALIZED-SQP,182.39999999999998
1.0,EXACT-JOINT-GRID reference,3.0
2.0,NO-CONTROL,1.0
2.0,WU-CD-F,144.0
2.0,CLASSICAL-HIERARCHICAL,36.0
2.0,WU-FAITHFUL-FOLLOWER / PFO,432.0
2.0,P-STACK-WU-FAITHFUL,3456.0
2.0,CENTRALIZED-SQP,883.1999999999999
2.0,EXACT-JOINT-GRID reference,18.0
3.0,NO-CONTROL,1.0
3.0,WU-CD-F,216.0
3.0,CLASSICAL-HIERARCHICAL,54.0
3.0,WU-FAITHFUL-FOLLOWER / PFO,648.0
3.0,P-STACK-WU-FAITHFUL,5184.0
3.0,CENTRALIZED-SQP,2332.8
3.0,EXACT-JOINT-GRID reference,81.0
4.0,NO-CONTROL,1.0
4.0,WU-CD-F,288.0
4.0,CLASSICAL-HIERARCHICAL,72.0
4.0,WU-FAITHFUL-FOLLOWER / PFO,864.0
4.0,P-STACK-WU-FAITHFUL,6912.0
4.0,CENTRALIZED-SQP,4761.6
4.0,EXACT-JOINT-GRID reference,324.0
5.0,NO-CONTROL,1.0
5.0,WU-CD-F,360.0
5.0,CLASSICAL-HIERARCHICAL,90.0
5.0,WU-FAITHFUL-FOLLOWER / PFO,1080.0
5.0,P-STACK-WU-FAITHFUL,8640.0
5.0,CENTRALIZED-SQP,8400.0
5.0,EXACT-JOINT-GRID reference,1215.0
6.0,NO-CONTROL,1.0
6.0,WU-CD-F,432.0
6.0,CLASSICAL-HIERARCHICAL,108.0
6.0,WU-FAITHFUL-FOLLOWER / PFO,1296.0
6.0,P-STACK-WU-FAITHFUL,10368.0
6.0,CENTRALIZED-SQP,13478.400000000001
6.0,EXACT-JOINT-GRID reference,4374.0
7.0,NO-CONTROL,1.0
7.0,WU-CD-F,504.0
7.0,CLASSICAL-HIERARCHICAL,126.0
7.0,WU-FAITHFUL-FOLLOWER / PFO,1512.0
7.0,P-STACK-WU-FAITHFUL,12096.0
7.0,CENTRALIZED-SQP,20227.2
7.0,EXACT-JOINT-GRID reference,15309.0
8.0,NO-CONTROL,1.0
8.0,WU-CD-F,576.0
8.0,CLASSICAL-HIERARCHICAL,144.0
8.0,WU-FAITHFUL-FOLLOWER / PFO,1728.0
8.0,P-STACK-WU-FAITHFUL,13824.0
8.0,CENTRALIZED-SQP,28876.800000000003
8.0,EXACT-JOINT-GRID reference,52488.0
9.0,NO-CONTROL,1.0
9.0,WU-CD-F,648.0
9.0,CLASSICAL-HIERARCHICAL,162.0
9.0,WU-FAITHFUL-FOLLOWER / PFO,1944.0
9.0,P-STACK-WU-FAITHFUL,15552.0
9.0,CENTRALIZED-SQP,39657.600000000006
9.0,EXACT-JOINT-GRID reference,177147.0
10.0,NO-CONTROL,1.0
10.0,WU-CD-F,720.0
10.0,CLASSICAL-HIERARCHICAL,180.0
10.0,WU-FAITHFUL-FOLLOWER / PFO,2160.0
10.0,P-STACK-WU-FAITHFUL,17280.0
10.0,CENTRALIZED-SQP,52800.0
10.0,EXACT-JOINT-GRID reference,590490.0
11.0,NO-CONTROL,1.0
11.0,WU-CD-F,792.0
11.0,CLASSICAL-HIERARCHICAL,198.0
11.0,WU-FAITHFUL-FOLLOWER / PFO,2376.0
11.0,P-STACK-WU-FAITHFUL,19008.0
11.0,CENTRALIZED-SQP,68534.4
11.0,EXACT-JOINT-GRID reference,1948617.0
12.0,NO-CONTROL,1.0
12.0,WU-CD-F,864.0
12.0,CLASSICAL-HIERARCHICAL,216.0
12.0,WU-FAITHFUL-FOLLOWER / PFO,2592.0
12.0,P-STACK-WU-FAITHFUL,20736.0
12.0,CENTRALIZED-SQP,87091.20000000001
12.0,EXACT-JOINT-GRID reference,6377292.0
13.0,NO-CONTROL,1.0
13.0,WU-CD-F,936.0
13.0,CLASSICAL-HIERARCHICAL,234.0
13.0,WU-FAITHFUL-FOLLOWER / PFO,2808.0
13.0,P-STACK-WU-FAITHFUL,22464.0
13.0,CENTRALIZED-SQP,108700.80000000002
13.0,EXACT-JOINT-GRID reference,20726199.0
14.0,NO-CONTROL,1.0
14.0,WU-CD-F,1008.0
14.0,CLASSICAL-HIERARCHICAL,252.0
14.0,WU-FAITHFUL-FOLLOWER / PFO,3024.0
14.0,P-STACK-WU-FAITHFUL,24192.0
14.0,CENTRALIZED-SQP,133593.6
14.0,EXACT-JOINT-GRID reference,66961566.0
15.0,NO-CONTROL,1.0
15.0,WU-CD-F,1080.0
15.0,CLASSICAL-HIERARCHICAL,270.0
15.0,WU-FAITHFUL-FOLLOWER / PFO,3240.0
15.0,P-STACK-WU-FAITHFUL,25920.0
15.0,CENTRALIZED-SQP,162000.0
15.0,EXACT-JOINT-GRID reference,215233605.0
16.0,NO-CONTROL,1.0
16.0,WU-CD-F,1152.0
16.0,CLASSICAL-HIERARCHICAL,288.0
16.0,WU-FAITHFUL-FOLLOWER / PFO,3456.0
16.0,P-STACK-WU-FAITHFUL,27648.0
16.0,CENTRALIZED-SQP,194150.40000000002
16.0,EXACT-JOINT-GRID reference,688747536.0
17.0,NO-CONTROL,1.0
17.0,WU-CD-F,1224.0
17.0,CLASSICAL-HIERARCHICAL,306.0
17.0,WU-FAITHFUL-FOLLOWER / PFO,3672.0
17.0,P-STACK-WU-FAITHFUL,29376.0
17.0,CENTRALIZED-SQP,230275.19999999998
17.0,EXACT-JOINT-GRID reference,2195382771.0
18.0,NO-CONTROL,1.0
18.0,WU-CD-F,1296.0
18.0,CLASSICAL-HIERARCHICAL,324.0
18.0,WU-FAITHFUL-FOLLOWER / PFO,3888.0
18.0,P-STACK-WU-FAITHFUL,31104.0
18.0,CENTRALIZED-SQP,270604.80000000005
18.0,EXACT-JOINT-GRID reference,6973568802.0
19.0,NO-CONTROL,1.0
19.0,WU-CD-F,1368.0
19.0,CLASSICAL-HIERARCHICAL,342.0
19.0,WU-FAITHFUL-FOLLOWER / PFO,4104.0
19.0,P-STACK-WU-FAITHFUL,32832.0
19.0,CENTRALIZED-SQP,315369.60000000003
19.0,EXACT-JOINT-GRID reference,22082967873.0
20.0,NO-CONTROL,1.0
20.0,WU-CD-F,1440.0
20.0,CLASSICAL-HIERARCHICAL,360.0
20.0,WU-FAITHFUL-FOLLOWER / PFO,4320.0
20.0,P-STACK-WU-FAITHFUL,34560.0
20.0,CENTRALIZED-SQP,364800.0
20.0,EXACT-JOINT-GRID reference,69735688020.0
21.0,NO-CONTROL,1.0
21.0,WU-CD-F,1512.0
21.0,CLASSICAL-HIERARCHICAL,378.0
21.0,WU-FAITHFUL-FOLLOWER / PFO,4536.0
21.0,P-STACK-WU-FAITHFUL,36288.0
21.0,CENTRALIZED-SQP,419126.39999999997
21.0,EXACT-JOINT-GRID reference,219667417263.0
22.0,NO-CONTROL,1.0
22.0,WU-CD-F,1584.0
22.0,CLASSICAL-HIERARCHICAL,396.0
22.0,WU-FAITHFUL-FOLLOWER / PFO,4752.0
22.0,P-STACK-WU-FAITHFUL,38016.0
22.0,CENTRALIZED-SQP,478579.19999999995
22.0,EXACT-JOINT-GRID reference,690383311398.0
23.0,NO-CONTROL,1.0
23.0,WU-CD-F,1656.0
23.0,CLASSICAL-HIERARCHICAL,414.0
23.0,WU-FAITHFUL-FOLLOWER / PFO,4968.0
23.0,P-STACK-WU-FAITHFUL,39744.0
23.0,CENTRALIZED-SQP,543388.8
23.0,EXACT-JOINT-GRID reference,2165293113021.0
24.0,NO-CONTROL,1.0
24.0,WU-CD-F,1728.0
24.0,CLASSICAL-HIERARCHICAL,432.0
24.0,WU-FAITHFUL-FOLLOWER / PFO,5184.0
24.0,P-STACK-WU-FAITHFUL,41472.0
24.0,CENTRALIZED-SQP,613785.6000000001
24.0,EXACT-JOINT-GRID reference,6778308875544.0
25.0,NO-CONTROL,1.0
25.0,WU-CD-F,1800.0
25.0,CLASSICAL-HIERARCHICAL,450.0
25.0,WU-FAITHFUL-FOLLOWER / PFO,5400.0
25.0,P-STACK-WU-FAITHFUL,43200.0
25.0,CENTRALIZED-SQP,690000.0
25.0,EXACT-JOINT-GRID reference,21182215236075.0
26.0,NO-CONTROL,1.0
26.0,WU-CD-F,1872.0
26.0,CLASSICAL-HIERARCHICAL,468.0
26.0,WU-FAITHFUL-FOLLOWER / PFO,5616.0
26.0,P-STACK-WU-FAITHFUL,44928.0
26.0,CENTRALIZED-SQP,772262.4
26.0,EXACT-JOINT-GRID reference,66088511536554.0
27.0,NO-CONTROL,1.0
27.0,WU-CD-F,1944.0
27.0,CLASSICAL-HIERARCHICAL,486.0
27.0,WU-FAITHFUL-FOLLOWER / PFO,5832.0
27.0,P-STACK-WU-FAITHFUL,46656.0
27.0,CENTRALIZED-SQP,860803.2000000001
27.0,EXACT-JOINT-GRID reference,205891132094649.0
28.0,NO-CONTROL,1.0
28.0,WU-CD-F,2016.0
28.0,CLASSICAL-HIERARCHICAL,504.0
28.0,WU-FAITHFUL-FOLLOWER / PFO,6048.0
28.0,P-STACK-WU-FAITHFUL,48384.0
28.0,CENTRALIZED-SQP,955852.8
28.0,EXACT-JOINT-GRID reference,640550188738908.0
29.0,NO-CONTROL,1.0
29.0,WU-CD-F,2088.0
29.0,CLASSICAL-HIERARCHICAL,522.0
29.0,WU-FAITHFUL-FOLLOWER / PFO,6264.0
29.0,P-STACK-WU-FAITHFUL,50112.0
29.0,CENTRALIZED-SQP,1057641.6
29.0,EXACT-JOINT-GRID reference,1990280943581607.0
30.0,NO-CONTROL,1.0
30.0,WU-CD-F,2160.0
30.0,CLASSICAL-HIERARCHICAL,540.0
30.0,WU-FAITHFUL-FOLLOWER / PFO,6480.0
30.0,P-STACK-WU-FAITHFUL,51840.0
30.0,CENTRALIZED-SQP,1166400.0
30.0,EXACT-JOINT-GRID reference,6176733962839470.0
